Remove?,Updated topic,Updated label,topic,argument,label,tokenized_argument,new_id
,,,big banks,"It should be clear by now that, given enough slack in their leash, the banks will take the path of highest leverage without concern for risk. Look at how they all copied Countrywide Financial so they could get a larger share of feed at the trough. Of course this will always end with the US taxpayer baling them out and financing hideously large bonuses to those that risked everyone else's money and lost. We desperately need the Glass Steagall wall between deposits and investments. It would also be a big help if we implement a method to lower income inequality so that unsustainable amounts of personal debt are required to prop up our economy. Remember when Chairman Greenspan testified on TV in a Senate hearing and urged existing homeowners to tap into their equity? The rapid rise in personal debt in the form of credit card debt, mortgages and student loans is feeding these to-big-to fail financial behemoths that throw their weight around Washington.",0,"It should be clear by now that , given enough slack in their leash , the banks will take the path of highest leverage without concern for risk . Look at how they all copied Countrywide Financial so they could get a larger share of feed at the trough . Of course this will always end with the US taxpayer baling them out and financing hideously large bonuses to those that risked everyone else 's money and lost . We desperately need the Glass Steagall wall between deposits and investments . It would also be a big help if we implement a method to lower income inequality so that unsustainable amounts of personal debt are required to prop up our economy . Remember when Chairman Greenspan testified on TV in a Senate hearing and urged existing homeowners to tap into their equity ? The rapid rise in personal debt in the form of credit card debt , mortgages and student loans is feeding these to - big - to fail financial behemoths that throw their weight around Washington .",1496
,,,veganism,"Veganism is for everyone. The age or body type of a person does not change the fact that all people need vitamins,proteins, and carbohydrates, which can all be obtained from plant sources. Nowadays, almost any grocery store offers vegan choices. There are also separate vitamin supplements available if needed, but most foods can be found with omega-3s, calcium, and zinc already added to them. Juices, along with meat and egg replacements are all healthy, vitamin-rich, vegan options. Helping the environment and gaining health benefits, such as a longer life span and a lower chance of heart disease come from becoming vegan. This article has been widely disputed below from lack of proof and false statements, and for a good reason. The author really should have done more research on the topic.",1,"Veganism is for everyone . The age or body type of a person does not change the fact that all people need vitamins , proteins , and carbohydrates , which can all be obtained from plant sources . Nowadays , almost any grocery store offers vegan choices . There are also separate vitamin supplements available if needed , but most foods can be found with omega-3s , calcium , and zinc already added to them . Juices , along with meat and egg replacements are all healthy , vitamin - rich , vegan options . Helping the environment and gaining health benefits , such as a longer life span and a lower chance of heart disease come from becoming vegan . This article has been widely disputed below from lack of proof and false statements , and for a good reason . The author really should have done more research on the topic .",1514
,,0,israel,"Israel is such a dishonest broker that this debate is unnecessary. Never mind the crimes against innocent people, never mind the broken promises; how about the atomic bomb they have hidden in plain site. I would agree to disarm Iran if we did the same with Israel. Unfortunately the Jewish lobby in this country spends copious amounts of money to gain political advantage for this rogue country. If they attack Iran, they should reap the whirlwind.",1,"Israel is such a dishonest broker that this debate is unnecessary . Never mind the crimes against innocent people , never mind the broken promises ; how about the atomic bomb they have hidden in plain site . I would agree to disarm Iran if we did the same with Israel . Unfortunately the Jewish lobby in this country spends copious amounts of money to gain political advantage for this rogue country . If they attack Iran , they should reap the whirlwind .",1533
,,,miss america,"Human males have strong instincts to select mates with good physical attributes. Women therefore seek to compete. The same phenomenon can be observed in insects, birds, and other mammals. Displays of fitness vary, and in some it is the females rather than the males that make the displays. So -- what is wrong with it? The process is comfortably Darwinian and it has contributed to our success as a species. I don't see why political correctness should be allowed to get in the way of that -- not that, in reality, you could argue men out of their attraction to beautiful women anyway.",1,"Human males have strong instincts to select mates with good physical attributes . Women therefore seek to compete . The same phenomenon can be observed in insects , birds , and other mammals . Displays of fitness vary , and in some it is the females rather than the males that make the displays . So -- what is wrong with it ? The process is comfortably Darwinian and it has contributed to our success as a species . I do n't see why political correctness should be allowed to get in the way of that -- not that , in reality , you could argue men out of their attraction to beautiful women anyway .",1542
,,,drilling,"""Atlantic offshore exploration and development could add $23.5 billion to the U.S. economy, create 280,000 jobs, generate $51 billion in state and federal revenue and produce an additional 1.3 million barrels of oil equivalent per day."" And how many tons per day of carbon dioxide into the atmosphere? Just a thought. Just another thought: How about we leave something in the ground as a legacy for our great great grandchildren and in the meantime, tighten our belts and initiate other ways of doing what we need to do? Larry Lundgren has an excellent suggestion below, and there are many more. Let's think about emerging out of the Age of Petroleum into what must come next if we are to survive on this planet.",0,""" Atlantic offshore exploration and development could add $ 23.5 billion to the U.S. economy , create 280,000 jobs , generate $ 51 billion in state and federal revenue and produce an additional 1.3 million barrels of oil equivalent per day . "" And how many tons per day of carbon dioxide into the atmosphere ? Just a thought . Just another thought : How about we leave something in the ground as a legacy for our great great grandchildren and in the meantime , tighten our belts and initiate other ways of doing what we need to do ? Larry Lundgren has an excellent suggestion below , and there are many more . Let 's think about emerging out of the Age of Petroleum into what must come next if we are to survive on this planet .",1573
x,,,overcrowding,"This is a great statement. After taking Jeffrey Sachs' and Peter Singer's courses online via Coursera for free, it is abundantly clear to me that from the perspectives of economic development, sustainability and ethics all that Mr. Nair concludes is true. Problem is whether it is simply human nature which will prevent us from overcoming our collective addictions to ego and hedonism, and that balance with humility is an ephemeral conceit.",0,"This is a great statement . After taking Jeffrey Sachs ' and Peter Singer 's courses online via Coursera for free , it is abundantly clear to me that from the perspectives of economic development , sustainability and ethics all that Mr. Nair concludes is true . Problem is whether it is simply human nature which will prevent us from overcoming our collective addictions to ego and hedonism , and that balance with humility is an ephemeral conceit .",1596
x,,,kids,"It's disappointing that the Times would ask a professional bigot to contribute to this discussion. The Cato Institute is funded by people who wish to denigrate and weaken government at every level. If they pay McCluskey's salary, it is because he is carrying their water. Parents who are not content with what their children may or may not be taught in public classrooms have always been free to home school or enroll them in private schools. Public education has been a smashing success story for America and tens of millions of its citizens. However, allowing individual parents to alter lesson plans at will can only result in chaos and a less-educated population. This New Hampshire experiment will end in failure.",1,"It 's disappointing that the Times would ask a professional bigot to contribute to this discussion . The Cato Institute is funded by people who wish to denigrate and weaken government at every level . If they pay McCluskey 's salary , it is because he is carrying their water . Parents who are not content with what their children may or may not be taught in public classrooms have always been free to home school or enroll them in private schools . Public education has been a smashing success story for America and tens of millions of its citizens . However , allowing individual parents to alter lesson plans at will can only result in chaos and a less - educated population . This New Hampshire experiment will end in failure .",1630
,,,overcrowding,"1. Bangladesh / Rohinga --population unsustainable = boat people. 2. Middle East- desert cannot feed the excess children = genocidal wars to reduce population. 3. WW1 & WW2 - Europe could not provide enough jobs for its blossoming population = 100 million killed. 4. Mao's grreat leap forward ? 100 million slaughtered = one child policy -> working 5. Catholics overbreeding Protestants = Northern Ireland's' troubles'. 6. Palestinian Arabs deliberate demographic overbreeding = continued war with Israel. 7. Young Muslim males without brides = rape ,torture,conquest Boko Harem, ISIS. ....solution BIRTH CONTROL or war -take your pick.",0,"1 . Bangladesh / Rohinga --population unsustainable = boat people . 2 . Middle East- desert can not feed the excess children = genocidal wars to reduce population . 3 . WW1 & WW2 - Europe could not provide enough jobs for its blossoming population = 100 million killed . 4 . Mao 's grreat leap forward ? 100 million slaughtered = one child policy - > working 5 . Catholics overbreeding Protestants = Northern Ireland 's ' troubles ' . 6 . Palestinian Arabs deliberate demographic overbreeding = continued war with Israel . 7 . Young Muslim males without brides = rape , torture , conquest Boko Harem , ISIS . .... solution BIRTH CONTROL or war -take your pick .",1651
x,,,people,"Henri Poincaire, the famous French scientist and mathematician, said, 'Science progresses, funeral by funeral'. evidently, so does common sense, (unless it regresses, election by election) and, as the election debates demonstrate, self-interest trumps rationality when the two are in conflict. Enlightenment is the turning away from self-interest to the larger self, that is, social consciousness and class war is not so much between the haves and have-nots in the financial sense as between the developed and the undeveloped in social consciousness. Such development is typically resisted as the growth of self necessarily invokes a sense of responsibility larger than the self; that is, altruism is seen as a perilous loss of self. Thus, in growth, the self appears exposed, vulnerable and at risk. But as healthcare joins medicare, food stamps, un-employment compensation, social security, the FDIC and soon to be measures to end consumer ripoffs and every sort of unethical capitalism, those who have opposed these measures will be seen to be lacking in common sense. For this reason, Henri and I expect to see the members of the Geriatric Old Party toddle off to oblivion with no one to replace them",1,"Henri Poincaire , the famous French scientist and mathematician , said , ' Science progresses , funeral by funeral ' . evidently , so does common sense , ( unless it regresses , election by election ) and , as the election debates demonstrate , self - interest trumps rationality when the two are in conflict . Enlightenment is the turning away from self - interest to the larger self , that is , social consciousness and class war is not so much between the haves and have - nots in the financial sense as between the developed and the undeveloped in social consciousness . Such development is typically resisted as the growth of self necessarily invokes a sense of responsibility larger than the self ; that is , altruism is seen as a perilous loss of self . Thus , in growth , the self appears exposed , vulnerable and at risk . But as healthcare joins medicare , food stamps , un - employment compensation , social security , the FDIC and soon to be measures to end consumer ripoffs and every sort of unethical capitalism , those who have opposed these measures will be seen to be lacking in common sense . For this reason , Henri and I expect to see the members of the Geriatric Old Party toddle off to oblivion with no one to replace them",1661
x,pageants,1,women,"Human males have strong instincts to select mates with good physical attributes. Women therefore seek to compete. The same phenomenon can be observed in insects, birds, and other mammals. Displays of fitness vary, and in some it is the females rather than the males that make the displays. So -- what is wrong with it? The process is comfortably Darwinian and it has contributed to our success as a species. I don't see why political correctness should be allowed to get in the way of that -- not that, in reality, you could argue men out of their attraction to beautiful women anyway.",0,"Human males have strong instincts to select mates with good physical attributes . Women therefore seek to compete . The same phenomenon can be observed in insects , birds , and other mammals . Displays of fitness vary , and in some it is the females rather than the males that make the displays . So -- what is wrong with it ? The process is comfortably Darwinian and it has contributed to our success as a species . I do n't see why political correctness should be allowed to get in the way of that -- not that , in reality , you could argue men out of their attraction to beautiful women anyway .",1690
,,,kids at home,"This is a wonderful article. I have had 3 births, the first 2 were in the hospital, and my 3rd was at home. I had awful experiences in the hospital with feeling like my freedom was taken away. I felt like I was shackled to the bed from the moment I walked in. My home birth was by far the best decision I have ever made. The experience is almost indescribable. Don't get me wrong, my first 2 births are special to me only because it was the moment my beautiful children came into this world. I just wish I knew then what I know now. With my home birth, I had an absolutely wonderful midwife who monitored me, but also aloud me to have control and let my body do what it was meant to do: give birth. Pregnancy is not a sickness, and I refuse to allow it to be treated as such.",1,"This is a wonderful article . I have had 3 births , the first 2 were in the hospital , and my 3rd was at home . I had awful experiences in the hospital with feeling like my freedom was taken away . I felt like I was shackled to the bed from the moment I walked in . My home birth was by far the best decision I have ever made . The experience is almost indescribable . Do n't get me wrong , my first 2 births are special to me only because it was the moment my beautiful children came into this world . I just wish I knew then what I know now . With my home birth , I had an absolutely wonderful midwife who monitored me , but also aloud me to have control and let my body do what it was meant to do : give birth . Pregnancy is not a sickness , and I refuse to allow it to be treated as such .",1719
,,,overcrowding,"There is another way that our population growth will be our undoing: There are not enough meaningful jobs on the planet for the number of people who are already on it. With our efficiencies in production, and the limits to natural resources, this problem will get worse over time. We do have a population problem, a serious one, but it is more than just numbers and how to feed them. We can make it so large numbers of people do not die, but that doesn't mean this planet can be manipulated so that those same large number of people can truly live.",0,"There is another way that our population growth will be our undoing : There are not enough meaningful jobs on the planet for the number of people who are already on it . With our efficiencies in production , and the limits to natural resources , this problem will get worse over time . We do have a population problem , a serious one , but it is more than just numbers and how to feed them . We can make it so large numbers of people do not die , but that does n't mean this planet can be manipulated so that those same large number of people can truly live .",1797
,,,in-state students,YES! They always have and always will ... until our government restricts the practice. I was told by a CA University professor they wanted out of state and foreign students because they paid more ... and that was 1978. DJM,1,YES ! They always have and always will ... until our government restricts the practice . I was told by a CA University professor they wanted out of state and foreign students because they paid more ... and that was 1978 . DJM,1829
,tipping,,workplace,Service employees deal with a very wide variety of good and bad customers that impart pleasant to stressful experiences. On my part even when the service is less than stellar I tip generously regardless. Serving the general public is a very hard job and deserves consideration especially if one can afford the extra.,1,Service employees deal with a very wide variety of good and bad customers that impart pleasant to stressful experiences . On my part even when the service is less than stellar I tip generously regardless . Serving the general public is a very hard job and deserves consideration especially if one can afford the extra .,1863
,,,kids,"""Everyone is entitled to his own opinion, but not his own facts."" ---- Daniel Patrick Moynihan All schools should attempt to teach students facts. Give the students, as they mature, the ability to reach their own opinions based upon those facts.",1,""" Everyone is entitled to his own opinion , but not his own facts . "" ---- Daniel Patrick Moynihan All schools should attempt to teach students facts . Give the students , as they mature , the ability to reach their own opinions based upon those facts .",1894
,,,veganism,"Mike Tyson ate meat when he was the most feared boxer in the world. He only became a vegan long after his boxing days are over, so he hardly counts as an elite vegan athlete. Similarly, Lance Armstrong didn't win all those Tour victories as a vegan. I'd be interested to know when the other athletes Rip mentioned became vegans. I'd bet it was long after they had become champions. In any case, for every vegan elite athlete Rip names, I can name a couple hundred omnivorous ones. So despite these examples, it is entirely possible -- and likely -- that any vegan athlete who reaches elite levels is a fluke and became a champion IN SPITE OF his/her nutritionally deficient vegan diet, and NOT because of it. You can go up a hill by walking on your hands. Doesn't mean it's the best or most efficient way to do it, or even that this is a possibility for most people.",0,"Mike Tyson ate meat when he was the most feared boxer in the world . He only became a vegan long after his boxing days are over , so he hardly counts as an elite vegan athlete . Similarly , Lance Armstrong did n't win all those Tour victories as a vegan . I 'd be interested to know when the other athletes Rip mentioned became vegans . I 'd bet it was long after they had become champions . In any case , for every vegan elite athlete Rip names , I can name a couple hundred omnivorous ones . So despite these examples , it is entirely possible -- and likely -- that any vegan athlete who reaches elite levels is a fluke and became a champion IN SPITE OF his / her nutritionally deficient vegan diet , and NOT because of it . You can go up a hill by walking on your hands . Does n't mean it 's the best or most efficient way to do it , or even that this is a possibility for most people .",1933
,,,immigration,We have a woman sitting in federal prison because she refused to abide by the disputed 5-4 ruling of the supreme court. Meanwhile we have entire sanctuary cities in brazen and unrepentant violation of federal immigration laws who suffer zero consequences. Instead they are cheered on by leftist for repudiating and nullifying the federal immigration laws in their communities.,0,We have a woman sitting in federal prison because she refused to abide by the disputed 5 - 4 ruling of the supreme court . Meanwhile we have entire sanctuary cities in brazen and unrepentant violation of federal immigration laws who suffer zero consequences . Instead they are cheered on by leftist for repudiating and nullifying the federal immigration laws in their communities .,1937
x,,,everyone,"Mike Tyson ate meat when he was the most feared boxer in the world. He only became a vegan long after his boxing days are over, so he hardly counts as an elite vegan athlete. Similarly, Lance Armstrong didn't win all those Tour victories as a vegan. I'd be interested to know when the other athletes Rip mentioned became vegans. I'd bet it was long after they had become champions. In any case, for every vegan elite athlete Rip names, I can name a couple hundred omnivorous ones. So despite these examples, it is entirely possible -- and likely -- that any vegan athlete who reaches elite levels is a fluke and became a champion IN SPITE OF his/her nutritionally deficient vegan diet, and NOT because of it. You can go up a hill by walking on your hands. Doesn't mean it's the best or most efficient way to do it, or even that this is a possibility for most people.",0,"Mike Tyson ate meat when he was the most feared boxer in the world . He only became a vegan long after his boxing days are over , so he hardly counts as an elite vegan athlete . Similarly , Lance Armstrong did n't win all those Tour victories as a vegan . I 'd be interested to know when the other athletes Rip mentioned became vegans . I 'd bet it was long after they had become champions . In any case , for every vegan elite athlete Rip names , I can name a couple hundred omnivorous ones . So despite these examples , it is entirely possible -- and likely -- that any vegan athlete who reaches elite levels is a fluke and became a champion IN SPITE OF his / her nutritionally deficient vegan diet , and NOT because of it . You can go up a hill by walking on your hands . Does n't mean it 's the best or most efficient way to do it , or even that this is a possibility for most people .",1947
,,,a palestinian state,"For Mr. Barghouti, the history of Israel started in 1948. Jews have been living in the area for 3900 years. The Arab/Muslims invaded and occupied Israel about 1300 years ago. During that time the Arab/ Muslims murdered and generally abused the Jewish population. After 1300 years of abuse, why does Israel have to compromise and give up land?",0,"For Mr. Barghouti , the history of Israel started in 1948 . Jews have been living in the area for 3900 years . The Arab / Muslims invaded and occupied Israel about 1300 years ago . During that time the Arab/ Muslims murdered and generally abused the Jewish population . After 1300 years of abuse , why does Israel have to compromise and give up land ?",1973
,,,home schoolers,The reason that we should not give home-schoolers a tax break is simply that the education of our youth is the civic responsibility of the entire adult population. Period. If some people choose not to use the publicly funded system then they are free to do so but that does not exempt them from contributing to the freely available public system.,0,The reason that we should not give home - schoolers a tax break is simply that the education of our youth is the civic responsibility of the entire adult population . Period . If some people choose not to use the publicly funded system then they are free to do so but that does not exempt them from contributing to the freely available public system .,1978
,,,a tax break,The reason that we should not give home-schoolers a tax break is simply that the education of our youth is the civic responsibility of the entire adult population. Period. If some people choose not to use the publicly funded system then they are free to do so but that does not exempt them from contributing to the freely available public system.,0,The reason that we should not give home - schoolers a tax break is simply that the education of our youth is the civic responsibility of the entire adult population . Period . If some people choose not to use the publicly funded system then they are free to do so but that does not exempt them from contributing to the freely available public system .,1988
,,,foreign language classes,"When I was in high school I had to study Latin for two years and I had to study a modern language. I chose German. Later in college I continued my studies in German and took up Russian. As an older adult I took courses in Modern Irish and Old Irish. Now, as a septuagenarian, I am studying Brazilian Portuguese. Why? because learning another language gives you the ability to understand how other people on the planet think. Yes, Cassandra, you need to learn how to think but you also need to understand how other peoples think in order to be a citizen of this world.",1,"When I was in high school I had to study Latin for two years and I had to study a modern language . I chose German . Later in college I continued my studies in German and took up Russian . As an older adult I took courses in Modern Irish and Old Irish . Now , as a septuagenarian , I am studying Brazilian Portuguese . Why ? because learning another language gives you the ability to understand how other people on the planet think . Yes , Cassandra , you need to learn how to think but you also need to understand how other peoples think in order to be a citizen of this world .",1992
,,,mandatory in college,"When I was in high school I had to study Latin for two years and I had to study a modern language. I chose German. Later in college I continued my studies in German and took up Russian. As an older adult I took courses in Modern Irish and Old Irish. Now, as a septuagenarian, I am studying Brazilian Portuguese. Why? because learning another language gives you the ability to understand how other people on the planet think. Yes, Cassandra, you need to learn how to think but you also need to understand how other peoples think in order to be a citizen of this world.",1,"When I was in high school I had to study Latin for two years and I had to study a modern language . I chose German . Later in college I continued my studies in German and took up Russian . As an older adult I took courses in Modern Irish and Old Irish . Now , as a septuagenarian , I am studying Brazilian Portuguese . Why ? because learning another language gives you the ability to understand how other people on the planet think . Yes , Cassandra , you need to learn how to think but you also need to understand how other peoples think in order to be a citizen of this world .",2010
,,,prostituion,"Legalizing prostitution and cracking down on trafficking are not mutually exclusive. The increased traffic in Amsterdam comes from the fact that it is just one such city and attracts men from all over. If prostitution was legal in every country in Europe this would not happen. Does prostitution dehumanize women? Absolutely. But until we get rid of it, legalization does, in theory, offer protections that doesn't currently exist.",1,"Legalizing prostitution and cracking down on trafficking are not mutually exclusive . The increased traffic in Amsterdam comes from the fact that it is just one such city and attracts men from all over . If prostitution was legal in every country in Europe this would not happen . Does prostitution dehumanize women ? Absolutely . But until we get rid of it , legalization does , in theory , offer protections that does n't currently exist .",2104
x,,,immigration,"First, Marco seems quite bitter at the country that took him him, provided him scholarships, helped him succeed. I would be kissing the ground in thanks that I escaped to a decent place. This is often a common reaction from people who rely on the largesse of others. The Pew Hispanic Research poll a few years ago asked Mexicans if they would immigrate if they could. Fifty percent said they would. That would be sixty million people. That is just Mexico. The U.S., Canada, and Switzerland generally lead in the polls as to where people would live, if they could. Governments have the responsibility to protect their borders. Due to the desirability of the U.S., the U.S. government has a particular responsibility. From what I can tell, for the most part, people are welcoming of immigrants. They want a process where the appropriate background checks can be done, and the number can be controlled. People do not like it when others jump the line at the movie theatre or on the freeway. They do not like it in the immigration arena either.",0,"First , Marco seems quite bitter at the country that took him him , provided him scholarships , helped him succeed . I would be kissing the ground in thanks that I escaped to a decent place . This is often a common reaction from people who rely on the largesse of others . The Pew Hispanic Research poll a few years ago asked Mexicans if they would immigrate if they could . Fifty percent said they would . That would be sixty million people . That is just Mexico . The U.S. , Canada , and Switzerland generally lead in the polls as to where people would live , if they could . Governments have the responsibility to protect their borders . Due to the desirability of the U.S. , the U.S. government has a particular responsibility . From what I can tell , for the most part , people are welcoming of immigrants . They want a process where the appropriate background checks can be done , and the number can be controlled . People do not like it when others jump the line at the movie theatre or on the freeway . They do not like it in the immigration arena either .",2185
x,,,a problem,"First, Marco seems quite bitter at the country that took him him, provided him scholarships, helped him succeed. I would be kissing the ground in thanks that I escaped to a decent place. This is often a common reaction from people who rely on the largesse of others. The Pew Hispanic Research poll a few years ago asked Mexicans if they would immigrate if they could. Fifty percent said they would. That would be sixty million people. That is just Mexico. The U.S., Canada, and Switzerland generally lead in the polls as to where people would live, if they could. Governments have the responsibility to protect their borders. Due to the desirability of the U.S., the U.S. government has a particular responsibility. From what I can tell, for the most part, people are welcoming of immigrants. They want a process where the appropriate background checks can be done, and the number can be controlled. People do not like it when others jump the line at the movie theatre or on the freeway. They do not like it in the immigration arena either.",1,"First , Marco seems quite bitter at the country that took him him , provided him scholarships , helped him succeed . I would be kissing the ground in thanks that I escaped to a decent place . This is often a common reaction from people who rely on the largesse of others . The Pew Hispanic Research poll a few years ago asked Mexicans if they would immigrate if they could . Fifty percent said they would . That would be sixty million people . That is just Mexico . The U.S. , Canada , and Switzerland generally lead in the polls as to where people would live , if they could . Governments have the responsibility to protect their borders . Due to the desirability of the U.S. , the U.S. government has a particular responsibility . From what I can tell , for the most part , people are welcoming of immigrants . They want a process where the appropriate background checks can be done , and the number can be controlled . People do not like it when others jump the line at the movie theatre or on the freeway . They do not like it in the immigration arena either .",2197
,,1,marijuana,"We need to stop selling beer because beer is a gateway alcoholic beverage that will lead people to drinking vodka, Scotch and gin. I find it ludicrous that we are having this discussion in the 21st century...did we fall into a time warp and end up back in the 1930s?",0,"We need to stop selling beer because beer is a gateway alcoholic beverage that will lead people to drinking vodka , Scotch and gin . I find it ludicrous that we are having this discussion in the 21st century ... did we fall into a time warp and end up back in the 1930s ?",2244
,,,a gateway drug,"We need to stop selling beer because beer is a gateway alcoholic beverage that will lead people to drinking vodka, Scotch and gin. I find it ludicrous that we are having this discussion in the 21st century...did we fall into a time warp and end up back in the 1930s?",0,"We need to stop selling beer because beer is a gateway alcoholic beverage that will lead people to drinking vodka , Scotch and gin . I find it ludicrous that we are having this discussion in the 21st century ... did we fall into a time warp and end up back in the 1930s ?",2258
,,0,fees,"I find it interesting that every single one of the comments on Ms. Nessa's essay disagrees with her party-line justification for high bank fees, and sometimes quite strongly. Studies have shown that every time someone picks up a pen to complain to a Congressman or someone in authority, it represents four hundred people who feel the same but haven't made the effort. If Nessa is reading these responses to her, she would do well to take them to heart and mention it in the next board meeting.",1,"I find it interesting that every single one of the comments on Ms. Nessa 's essay disagrees with her party - line justification for high bank fees , and sometimes quite strongly . Studies have shown that every time someone picks up a pen to complain to a Congressman or someone in authority , it represents four hundred people who feel the same but have n't made the effort . If Nessa is reading these responses to her , she would do well to take them to heart and mention it in the next board meeting .",2260
,,,iran,"'The nuclear deal also opens unprecedented communication channels between Iran and the United States that may prevent future crises, just as we witnessed with the recent prisoner swap and Tehran's speedy release of detained American sailors.' Thank you. I needed a quick laugh. Our sailors were captured prior to sanctions being lifted, and were not returned until the sanctions were almost lifted, and a 1.7 billion dollar jizya, Islamic tax, was paid for our hostages. Again. Thee was no ""speedy diplomacy,"" or really any kind of rapprochement. The Iranian regime, unlike the Arab Spring, has not moved an iota since 1979. Except that in 10 years, they will have a bomb to fit onto their ICBMs. That will certainly be new. But the answer to this ""debate"" is: ""Are your children, grandchildren, sleeping in Tel Aviv tonight?"" if not, the Iranians look less threatening today. If yes, then you see the truth very clearly.",0,"' The nuclear deal also opens unprecedented communication channels between Iran and the United States that may prevent future crises , just as we witnessed with the recent prisoner swap and Tehran 's speedy release of detained American sailors . ' Thank you . I needed a quick laugh . Our sailors were captured prior to sanctions being lifted , and were not returned until the sanctions were almost lifted , and a 1.7 billion dollar jizya , Islamic tax , was paid for our hostages . Again . Thee was no "" speedy diplomacy , "" or really any kind of rapprochement . The Iranian regime , unlike the Arab Spring , has not moved an iota since 1979 . Except that in 10 years , they will have a bomb to fit onto their ICBMs . That will certainly be new . But the answer to this "" debate "" is : "" Are your children , grandchildren , sleeping in Tel Aviv tonight ? "" if not , the Iranians look less threatening today . If yes , then you see the truth very clearly .",2280
x,,,a threat,"'The nuclear deal also opens unprecedented communication channels between Iran and the United States that may prevent future crises, just as we witnessed with the recent prisoner swap and Tehran's speedy release of detained American sailors.' Thank you. I needed a quick laugh. Our sailors were captured prior to sanctions being lifted, and were not returned until the sanctions were almost lifted, and a 1.7 billion dollar jizya, Islamic tax, was paid for our hostages. Again. Thee was no ""speedy diplomacy,"" or really any kind of rapprochement. The Iranian regime, unlike the Arab Spring, has not moved an iota since 1979. Except that in 10 years, they will have a bomb to fit onto their ICBMs. That will certainly be new. But the answer to this ""debate"" is: ""Are your children, grandchildren, sleeping in Tel Aviv tonight?"" if not, the Iranians look less threatening today. If yes, then you see the truth very clearly.",0,"' The nuclear deal also opens unprecedented communication channels between Iran and the United States that may prevent future crises , just as we witnessed with the recent prisoner swap and Tehran 's speedy release of detained American sailors . ' Thank you . I needed a quick laugh . Our sailors were captured prior to sanctions being lifted , and were not returned until the sanctions were almost lifted , and a 1.7 billion dollar jizya , Islamic tax , was paid for our hostages . Again . Thee was no "" speedy diplomacy , "" or really any kind of rapprochement . The Iranian regime , unlike the Arab Spring , has not moved an iota since 1979 . Except that in 10 years , they will have a bomb to fit onto their ICBMs . That will certainly be new . But the answer to this "" debate "" is : "" Are your children , grandchildren , sleeping in Tel Aviv tonight ? "" if not , the Iranians look less threatening today . If yes , then you see the truth very clearly .",2294
x,,,attacts,"The question as to whether or not drones are effective is 'mental masturbation""We bombed Dresden in WW2 and atomic bombed Hiroshima and Nagasaki.Of course hundred of thousands of innocent civilian died;but the bombings save American troops lives. If the Arab/Muslim world does not like civilian casualties ;they can clean up their act by joining the 21st century by granting freedom and equal rights and a modern education to their people Yes America England France Russia Japan and Germany were imperialist nations- ""past tense"" ,and forced a Zionist state in the aftermath of WW2 However the fledgling Zionist state survived the attacks and it is not going to give the land back anymore than Americans will give the land back they stole from the native Indians When Arabs grant equal RIGHTS ESPECIALLY TO WOMEN;I may argue against drones but until then dead neanderthals from drone attack are necessary to save soldiers lives",0,"The question as to whether or not drones are effective is ' mental masturbation""We bombed Dresden in WW2 and atomic bombed Hiroshima and Nagasaki . Of course hundred of thousands of innocent civilian died;but the bombings save American troops lives . If the Arab / Muslim world does not like civilian casualties ; they can clean up their act by joining the 21st century by granting freedom and equal rights and a modern education to their people Yes America England France Russia Japan and Germany were imperialist nations- "" past tense "" , and forced a Zionist state in the aftermath of WW2 However the fledgling Zionist state survived the attacks and it is not going to give the land back anymore than Americans will give the land back they stole from the native Indians When Arabs grant equal RIGHTS ESPECIALLY TO WOMEN;I may argue against drones but until then dead neanderthals from drone attack are necessary to save soldiers lives",2304
,,1,israel,"We don't have to guess what would happen to Jerusalem if it fell to Arab control. We already saw that when Jordan controlled East Jerusalem before 1967 - Jews were not allowed, and every single synagogue in East Jerusalem was destroyed - 58 in total.",0,"We do n't have to guess what would happen to Jerusalem if it fell to Arab control . We already saw that when Jordan controlled East Jerusalem before 1967 - Jews were not allowed , and every single synagogue in East Jerusalem was destroyed - 58 in total .",2317
,,,beachfront homes,"I would go even further. Making all beaches public, and requiring public access to all beaches WITHOUT the beach-goer having to pay a fee to get to the beach. FOr instance, the NOrthern California coast is spectacular, north of San Francisco. I find it offensive to come to a place like Sea Ranch, and find that all the pullouts along highway 1 in this area, from where one can walk to the beach, require you to pay a fee to park. So, unless you are traveling the highway without a car, there is no way to access the beach at Sea Ranch without paying a fee. THis should be forbidden. In my view, we should also prevent people from being able to buy land within a certain distance of the water in areas that remain undeveloped, in order to better preserve these undeveloped areas.",0,"I would go even further . Making all beaches public , and requiring public access to all beaches WITHOUT the beach - goer having to pay a fee to get to the beach . FOr instance , the NOrthern California coast is spectacular , north of San Francisco . I find it offensive to come to a place like Sea Ranch , and find that all the pullouts along highway 1 in this area , from where one can walk to the beach , require you to pay a fee to park . So , unless you are traveling the highway without a car , there is no way to access the beach at Sea Ranch without paying a fee . THis should be forbidden . In my view , we should also prevent people from being able to buy land within a certain distance of the water in areas that remain undeveloped , in order to better preserve these undeveloped areas .",2338
