topic,argument,tokenized_argument,label
u.s.,"I think we would be kidding ourselves if we tried to prevent the transition to a multi stakeholder system for Icann. If we try to stop the proposal, the rest of the world will create an alternative domain name management system.","I think we would be kidding ourselves if we tried to prevent the transition to a multi stakeholder system for Icann . If we try to stop the proposal , the rest of the world will create an alternative domain name management system .",1
the status of teachers,"Foote quotes someone who compares TFA volunteers to Army recruits. Even there, in fact, TFA suffers by comparison. Soldiers spend more time in basic training than the few weeks that TFA recruits do, let alone all the additional training specialists get. So what she's saying, effectively, is that the message of TFA is that teaching is less difficult than learning to march, obey orders and fire a gun.","Foote quotes someone who compares TFA volunteers to Army recruits . Even there , in fact , TFA suffers by comparison . Soldiers spend more time in basic training than the few weeks that TFA recruits do , let alone all the additional training specialists get . So what she 's saying , effectively , is that the message of TFA is that teaching is less difficult than learning to march , obey orders and fire a gun .",0
income,"Family wealth or lack of it is not a valid indicator of capability for college level academic study and is inappropriate, as is family or personal income, for use by a college or university in deciding whether to offer an applicant admission. Both are appropriate in deciding whether to assist a successful applicant financial assistance. The two decisions are not logically related, and attempting to combine them is certain to lead to poor results.","Family wealth or lack of it is not a valid indicator of capability for college level academic study and is inappropriate , as is family or personal income , for use by a college or university in deciding whether to offer an applicant admission . Both are appropriate in deciding whether to assist a successful applicant financial assistance . The two decisions are not logically related , and attempting to combine them is certain to lead to poor results .",0
electric cars,"The author is a bit behind. China Based, NASDAQ Kandi Technologies (KNDI) already has over 3000 Mini-EV's on US Roads. Over a thousand sold last quarter alone. They are eligible for the 10% tax credit. Before the tax credit, the convertible has an MSRP of 10,000 and the air conditioned hard top is $12,000.","The author is a bit behind . China Based , NASDAQ Kandi Technologies ( KNDI ) already has over 3000 Mini - EV 's on US Roads . Over a thousand sold last quarter alone . They are eligible for the 10 % tax credit . Before the tax credit , the convertible has an MSRP of 10,000 and the air conditioned hard top is $ 12,000 .",1
farms,"Aren't these the same farmers that jump up and down screaming about illegal immigration when the kids want to go to school? The ones that accept huge subsidies from the federal government? My guess is that the ones who are really upset are the large Agribusinesses that use hundreds of illegal laborers at a time. Many small farmers are succeeding with high quality locally raised crops. Here in central Massachusetts, where growing is a real challenge, the small farms are doing very well. Locally raised produce that doesn't need to be transported and stored at tremendous cost is inherently cheaper and better. In the past many solutions to the problem have been proposed, including permits to work temporarily in the US. All defeated. I think some people just like cheap labor and no accountability. Not to worry, though, the migrants are no longer flowing to the US and there are millions of unemployed Americans, so it will work itself out to the benefit of the farmers if we just keep destroying the economy.","Are n't these the same farmers that jump up and down screaming about illegal immigration when the kids want to go to school ? The ones that accept huge subsidies from the federal government ? My guess is that the ones who are really upset are the large Agribusinesses that use hundreds of illegal laborers at a time . Many small farmers are succeeding with high quality locally raised crops . Here in central Massachusetts , where growing is a real challenge , the small farms are doing very well . Locally raised produce that does n't need to be transported and stored at tremendous cost is inherently cheaper and better . In the past many solutions to the problem have been proposed , including permits to work temporarily in the US . All defeated . I think some people just like cheap labor and no accountability . Not to worry , though , the migrants are no longer flowing to the US and there are millions of unemployed Americans , so it will work itself out to the benefit of the farmers if we just keep destroying the economy .",1
same-sex colleges,"The author's last sentence actually magpies a strong case for women's colleges. CoEd colleges are not generally ""...gender-integrated places, where no one is excluded and both sexes learn how to respect, collaborate with and lead each other through shared experience."" This is a nice fantasy but it is not reality. I was fortunate to go to an women's college in a curriculum where male students had to come to our turf. So I had the best of both worlds - the opportunity to study with men but in an environment where women's opinions and observations were honored because it was a women's college. PS. Having just finished ""I am Charlotte Simmons"" by Tom Wolfe, I think we have made the mistake of thinking that age is the equivalent of the emotional maturity necessary to live together and study together in a mutually beneficial way. If anything, we should have more segregation of the sexes through the college years - not less.","The author 's last sentence actually magpies a strong case for women 's colleges . CoEd colleges are not generally "" ... gender - integrated places , where no one is excluded and both sexes learn how to respect , collaborate with and lead each other through shared experience . "" This is a nice fantasy but it is not reality . I was fortunate to go to an women 's college in a curriculum where male students had to come to our turf . So I had the best of both worlds - the opportunity to study with men but in an environment where women 's opinions and observations were honored because it was a women 's college . PS . Having just finished "" I am Charlotte Simmons "" by Tom Wolfe , I think we have made the mistake of thinking that age is the equivalent of the emotional maturity necessary to live together and study together in a mutually beneficial way . If anything , we should have more segregation of the sexes through the college years - not less .",0
electric cars,"While clearly the Volt is not perfect, I recall a lot of these same issues being brought up when the first hybrids were announced. Too expensive, not worth it, only die-hard environmentalists will buy them and lose money, etc. Yet today look at all the hybrids on the road. And the cost has come down. Is the Volt the answer to our car problems? Of course not. But maybe by starting to realize that gasoline isn't the only way to power a car, it'll lead to hydrogen-powered cars or fuel cells or who knows maybe a technology that doesn't even exist yet. More options are always better!","While clearly the Volt is not perfect , I recall a lot of these same issues being brought up when the first hybrids were announced . Too expensive , not worth it , only die - hard environmentalists will buy them and lose money , etc . Yet today look at all the hybrids on the road . And the cost has come down . Is the Volt the answer to our car problems ? Of course not . But maybe by starting to realize that gasoline is n't the only way to power a car , it 'll lead to hydrogen - powered cars or fuel cells or who knows maybe a technology that does n't even exist yet . More options are always better !",1
high school,"It might be worth taking a look at the CEGEP system in the province of Quebec. In Quebec, High school ends at grade 11. From there, students enter CEGEP which is either two years for students planning on going to university or three years for those in the technical/vocational side. Those who chose the three year program are ready for work right after graduating from CEGEP. The students who are heading to university have had the chance to take courses more focused on their chosen field. Not everyone can or should go to university and the system CEGEP offers an alternative.","It might be worth taking a look at the CEGEP system in the province of Quebec . In Quebec , High school ends at grade 11 . From there , students enter CEGEP which is either two years for students planning on going to university or three years for those in the technical / vocational side . Those who chose the three year program are ready for work right after graduating from CEGEP . The students who are heading to university have had the chance to take courses more focused on their chosen field . Not everyone can or should go to university and the system CEGEP offers an alternative .",1
home schoolers,"I echo the sentiments of others in this thread. As a childless person, it infuriates me to read these arguments. The thought of families getting a $5,000 tax credit -- a payment of $5,000 -- because they don't take advantage of taxpayer-funded schools is outrageous. I pay thousands of dollars a month in taxes for schools that I will never directly take advantage of. Shouldn't I get a tax credit? This philosophy of not paying for public services you don't directly use is poisonous. If you have a huge yard with playground equipment, should you get a tax credit for not using public parks? If you buy books instead of checking them out the library, should you get a tax credit? If you don't have a car and don't use highways, should you get a tax credit? Aside from that, this author's notion that ignoring the Constitution is what got us $14 trillion into debt is ludicrous. A decade of irresponsible tax cuts, two multi-trillion dollar wars and the worst recession of our lifetime has much more to do with it.","I echo the sentiments of others in this thread . As a childless person , it infuriates me to read these arguments . The thought of families getting a $ 5,000 tax credit -- a payment of $ 5,000 -- because they do n't take advantage of taxpayer - funded schools is outrageous . I pay thousands of dollars a month in taxes for schools that I will never directly take advantage of . Should n't I get a tax credit ? This philosophy of not paying for public services you do n't directly use is poisonous . If you have a huge yard with playground equipment , should you get a tax credit for not using public parks ? If you buy books instead of checking them out the library , should you get a tax credit ? If you do n't have a car and do n't use highways , should you get a tax credit ? Aside from that , this author 's notion that ignoring the Constitution is what got us $ 14 trillion into debt is ludicrous . A decade of irresponsible tax cuts , two multi - trillion dollar wars and the worst recession of our lifetime has much more to do with it .",1
a modern family,It won't be easy due to over enthusiastic Photographers/Journalists and those who fabricate stories out of nowhere. Their privacy must be protected and ensured by media persons. They must not be haunted as has been witnessed in so many cases concerning Royal Linage. I wish them Good Luck & God Bless this couple.,It wo n't be easy due to over enthusiastic Photographers / Journalists and those who fabricate stories out of nowhere . Their privacy must be protected and ensured by media persons . They must not be haunted as has been witnessed in so many cases concerning Royal Linage . I wish them Good Luck & God Bless this couple .,1
people,"This is a dumb question. The US population is very diverse and becoming more fragmented. We have a two-tier educational system that is providing a decent education for the affluent and a miserable one for the poor or near poor. There is a sizeable minority that is anti-intellectual and anti-science, who feel religion beliefs are being undermined by modern concepts and morality. On the other hand the scientific education provided by the elite graduate schools is the best in the world and better than ever. Unfortunately most of the people taking advantage of that education are either foreign born or first generation Americans. The rest prefer to become lawyers, get degrees in business administration or get jobs in the financial sectors. The pursuit of wealth trumps pursuit of knowledge for those whose families have been Americans for more than 2 generations. The most worrisome trend is not that the population is dumbing down but that social coherence is being lost and greed is replacing a sense of social responsibility.","This is a dumb question . The US population is very diverse and becoming more fragmented . We have a two - tier educational system that is providing a decent education for the affluent and a miserable one for the poor or near poor . There is a sizeable minority that is anti - intellectual and anti - science , who feel religion beliefs are being undermined by modern concepts and morality . On the other hand the scientific education provided by the elite graduate schools is the best in the world and better than ever . Unfortunately most of the people taking advantage of that education are either foreign born or first generation Americans . The rest prefer to become lawyers , get degrees in business administration or get jobs in the financial sectors . The pursuit of wealth trumps pursuit of knowledge for those whose families have been Americans for more than 2 generations . The most worrisome trend is not that the population is dumbing down but that social coherence is being lost and greed is replacing a sense of social responsibility .",1
a tax break,"Who has the time? When the kids are are of school age, the parents - usually both - have their noses to the grindstone. It takes a lot of determination and endurance to sit Junior down for two hours of lessons right after dinner. Further, as degrading as it may seem, schools provide an important function beyond education - as a day care service permitting both parents to be employed. As to the merits of giving tax breaks for home schooling, the public schools are not just going to disappear and their expenses have to be paid. Home schooling certainly means higher taxes.","Who has the time ? When the kids are are of school age , the parents - usually both - have their noses to the grindstone . It takes a lot of determination and endurance to sit Junior down for two hours of lessons right after dinner . Further , as degrading as it may seem , schools provide an important function beyond education - as a day care service permitting both parents to be employed . As to the merits of giving tax breaks for home schooling , the public schools are not just going to disappear and their expenses have to be paid . Home schooling certainly means higher taxes .",0
your cat,"Declawing prevents cat overpopulation? Doubtful. I was a vet tech prior to becoming an RN. I have been physcially sick twice in the last 10 years of those careers....both times were as a vet tech. Neve as an ER nurse! Once was a shot puppy, another was a post op declaw. It was HORRIBLE. But clearly, sir, you need an anatomy class. You see cats don't reproduce via claws....1 cat can have 30  offspring in the wild.....my cats have the option to go outside (where they were found- cold, starving, wet, fighting for their lives in city streets) they don't want to go outside!!!! Why would they?? And personally I would rather buy 15 couches than live without any of my fur babies. I can't even believe you were allowed to write this article, as you are terribly misinformed.","Declawing prevents cat overpopulation ? Doubtful . I was a vet tech prior to becoming an RN . I have been physcially sick twice in the last 10 years of those careers .... both times were as a vet tech . Neve as an ER nurse ! Once was a shot puppy , another was a post op declaw . It was HORRIBLE . But clearly , sir , you need an anatomy class . You see cats do n't reproduce via claws .... 1 cat can have 30   offspring in the wild ..... my cats have the option to go outside ( where they were found- cold , starving , wet , fighting for their lives in city streets ) they do n't want to go outside ! ! ! ! Why would they ? ? And personally I would rather buy 15 couches than live without any of my fur babies . I ca n't even believe you were allowed to write this article , as you are terribly misinformed .",1
workplace,Service employees deal with a very wide variety of good and bad customers that impart pleasant to stressful experiences. On my part even when the service is less than stellar I tip generously regardless. Serving the general public is a very hard job and deserves consideration especially if one can afford the extra.,Service employees deal with a very wide variety of good and bad customers that impart pleasant to stressful experiences . On my part even when the service is less than stellar I tip generously regardless . Serving the general public is a very hard job and deserves consideration especially if one can afford the extra .,1
women,"Human males have strong instincts to select mates with good physical attributes. Women therefore seek to compete. The same phenomenon can be observed in insects, birds, and other mammals. Displays of fitness vary, and in some it is the females rather than the males that make the displays. So -- what is wrong with it? The process is comfortably Darwinian and it has contributed to our success as a species. I don't see why political correctness should be allowed to get in the way of that -- not that, in reality, you could argue men out of their attraction to beautiful women anyway.","Human males have strong instincts to select mates with good physical attributes . Women therefore seek to compete . The same phenomenon can be observed in insects , birds , and other mammals . Displays of fitness vary , and in some it is the females rather than the males that make the displays . So -- what is wrong with it ? The process is comfortably Darwinian and it has contributed to our success as a species . I do n't see why political correctness should be allowed to get in the way of that -- not that , in reality , you could argue men out of their attraction to beautiful women anyway .",0
parents,"When a couple decides to have children, the children become an integral part of the family and should not be excluded from family adventures unless a child has so severe a disability that he or she cannot go. We rarely took vacations, but when we did it was as a family. Now that our children are grown and all moved away, we seldom see them, so those together times have become even more precious. Children grow up so fast--enjoy them as much as you can. Carve out time for yourselves by enforcing an early bedtime for the offspring.","When a couple decides to have children , the children become an integral part of the family and should not be excluded from family adventures unless a child has so severe a disability that he or she can not go . We rarely took vacations , but when we did it was as a family . Now that our children are grown and all moved away , we seldom see them , so those together times have become even more precious . Children grow up so fast -- enjoy them as much as you can . Carve out time for yourselves by enforcing an early bedtime for the offspring .",1
a palestinian state,"This article is tantamount to asking a criminal's mother to give him a character reference! The author is a former member of the IDF. Enough said. Netanyahu and his cabal do not want to negotiate, period. So, the Palestinians are left to their own devices. Whatever schisms exist within the Palestinian are for them to resolve. That state of affairs does not preclude a nation state for the Palestinians. The forces of change, good and bad, are closing in on Israel. Tempus fugit!","This article is tantamount to asking a criminal 's mother to give him a character reference ! The author is a former member of the IDF . Enough said . Netanyahu and his cabal do not want to negotiate , period . So , the Palestinians are left to their own devices . Whatever schisms exist within the Palestinian are for them to resolve . That state of affairs does not preclude a nation state for the Palestinians . The forces of change , good and bad , are closing in on Israel . Tempus fugit !",1
nations,"This article is tantamount to asking a criminal's mother to give him a character reference! The author is a former member of the IDF. Enough said. Netanyahu and his cabal do not want to negotiate, period. So, the Palestinians are left to their own devices. Whatever schisms exist within the Palestinian are for them to resolve. That state of affairs does not preclude a nation state for the Palestinians. The forces of change, good and bad, are closing in on Israel. Tempus fugit!","This article is tantamount to asking a criminal 's mother to give him a character reference ! The author is a former member of the IDF . Enough said . Netanyahu and his cabal do not want to negotiate , period . So , the Palestinians are left to their own devices . Whatever schisms exist within the Palestinian are for them to resolve . That state of affairs does not preclude a nation state for the Palestinians . The forces of change , good and bad , are closing in on Israel . Tempus fugit !",1
farms,"Ms. Bedolla's job is to lobby for illegal workers, and this fact makes all of her arguments subject to question. This is standard advocacy talk- the illegal's do the work American's won't do/can't do, and her Georgia example where former convicts, hardly a representative population, were cited as evidence is typical of the distortions practiced by these advoctes. If the farmers want legal workers, then they should pay them a living wage, and Americans should pay the higher resulting prices for the food that they consume .The implication that American's are not hard workers is not borne out by our history.","Ms. Bedolla 's job is to lobby for illegal workers , and this fact makes all of her arguments subject to question . This is standard advocacy talk- the illegal 's do the work American 's wo n't do / can't do , and her Georgia example where former convicts , hardly a representative population , were cited as evidence is typical of the distortions practiced by these advoctes . If the farmers want legal workers , then they should pay them a living wage , and Americans should pay the higher resulting prices for the food that they consume .The implication that American 's are not hard workers is not borne out by our history .",1
isis,It is so recent that we cant even call it history. Hasn't the west already learnt from the removal of Saddam Hussein and Muammar Gaddafi from Iraq and Libya respectively and what it has done to those countries? The USA is responsible for the creation of ISIS in a passive way as it is also friends with Saudi Arabia. The removal of Assad govt will lead to a stronger ISIS and a bigger problem in middle east. The removal of the Assad govt is being sought mainly because of Israel while it bombs the hell out of Gaza killing thousands of people. Working with the Assad govt is a smart thing to do. Don't fix it if it ain't broke.,It is so recent that we ca nt even call it history . Has n't the west already learnt from the removal of Saddam Hussein and Muammar Gaddafi from Iraq and Libya respectively and what it has done to those countries ? The USA is responsible for the creation of ISIS in a passive way as it is also friends with Saudi Arabia . The removal of Assad govt will lead to a stronger ISIS and a bigger problem in middle east . The removal of the Assad govt is being sought mainly because of Israel while it bombs the hell out of Gaza killing thousands of people . Working with the Assad govt is a smart thing to do . Do n't fix it if it ai n't broke .,0
a smart investment,"I agree with some of the comments about not pushing kids too young to read and write. However, kids benefit from a preschool environment even if it is all play based. New Zealand has a free preschool program, but the kids don't start learning to read until they enter elementary school and NZ has one of the highest literacy rates in the world. It also benefits those who are in the lower middle class and don't qualify for free programs. This is where we really need to start making a push. So that their kids don't end up in the lower class.","I agree with some of the comments about not pushing kids too young to read and write . However , kids benefit from a preschool environment even if it is all play based . New Zealand has a free preschool program , but the kids do n't start learning to read until they enter elementary school and NZ has one of the highest literacy rates in the world . It also benefits those who are in the lower middle class and do n't qualify for free programs . This is where we really need to start making a push . So that their kids do n't end up in the lower class .",1
public workers,"Well, that guy just burned a bunch of paper... Why he can't protest against fanatic Muslims? Those who punished him are just getting upset for nothing. Can the burning of a Bible or a Koran means war? this is stupid. People must learn to not get upset for things like that. To convince about God, please don't use terrorism or bullying... use love, reasoning, and wisdom","Well , that guy just burned a bunch of paper ... Why he ca n't protest against fanatic Muslims ? Those who punished him are just getting upset for nothing . Can the burning of a Bible or a Koran means war ? this is stupid . People must learn to not get upset for things like that . To convince about God , please do n't use terrorism or bullying ... use love , reasoning , and wisdom",1
overcrowding,"This is a great statement. After taking Jeffrey Sachs' and Peter Singer's courses online via Coursera for free, it is abundantly clear to me that from the perspectives of economic development, sustainability and ethics all that Mr. Nair concludes is true. Problem is whether it is simply human nature which will prevent us from overcoming our collective addictions to ego and hedonism, and that balance with humility is an ephemeral conceit.","This is a great statement . After taking Jeffrey Sachs ' and Peter Singer 's courses online via Coursera for free , it is abundantly clear to me that from the perspectives of economic development , sustainability and ethics all that Mr. Nair concludes is true . Problem is whether it is simply human nature which will prevent us from overcoming our collective addictions to ego and hedonism , and that balance with humility is an ephemeral conceit .",0
a gamble,"The push for casinos demonstrates a lack of imagination and forethought of politicians. Casinos are not the wave of the future, they are regressive in every respect. Surely the state senator has a more creative, forward thinking solution to unemployment? Surely the state senator has more respect for his constituents, and will suggest something that elevates his district, bringing them sustainable development that relies on an educated and sophisticated populace, while protecting the cultural and natural resources of that area of NY. His suggestion that home prices will go up due to the introduction of casinos is absurd, and has not been substantiated in Atlantic City, Eastern Connecticut, or other areas with legalized gambling.","The push for casinos demonstrates a lack of imagination and forethought of politicians . Casinos are not the wave of the future , they are regressive in every respect . Surely the state senator has a more creative , forward thinking solution to unemployment ? Surely the state senator has more respect for his constituents , and will suggest something that elevates his district , bringing them sustainable development that relies on an educated and sophisticated populace , while protecting the cultural and natural resources of that area of NY . His suggestion that home prices will go up due to the introduction of casinos is absurd , and has not been substantiated in Atlantic City , Eastern Connecticut , or other areas with legalized gambling .",0
more harm,"""Civilians and even humanitarian workers are afraid to assist victims for fear they may be killed in a second strike."" It's worth pointing out that attacking people trying to assist victims in a second strike is a violation of the First Geneva Convention, which the United States has signed. This rule was put in place specifically to prevent the kind of situation where an attack has occurred, medics try to rescue the wounded, and somebody just starts killing medics. That means that anyone ordering those sorts of strikes (which are definitely happening) is a war criminal.",""" Civilians and even humanitarian workers are afraid to assist victims for fear they may be killed in a second strike . "" It 's worth pointing out that attacking people trying to assist victims in a second strike is a violation of the First Geneva Convention , which the United States has signed . This rule was put in place specifically to prevent the kind of situation where an attack has occurred , medics try to rescue the wounded , and somebody just starts killing medics . That means that anyone ordering those sorts of strikes ( which are definitely happening ) is a war criminal .",1
everyone,"I haven't read through all the comments, but I strongly feel that diet (and what keeps one healthy) is extremely individual and dependent on many things-including allergies, sensitivities, previous medical history, religious experience, and emotional situations, to name a few. I grew up with a father who was a heavy smoker. Possibly as a result, I was given large doses of steroids (to which I became addicted) because I had asthma throughout much of my adolescence. I was also put on thyroid medication for seven years unnecessarily because, at that time, the measures for thyroid were faulty. So today I suffer from osteoporosis and so have adopted a diet rich in calcium. Fortunately, I am not too lactose intolerant and can handle milk products, unless I pick up a virus. I mention all of this to point out that we all have our individual food needs and shouldn't feel compelled to tell others what's good for them.","I have n't read through all the comments , but I strongly feel that diet ( and what keeps one healthy ) is extremely individual and dependent on many things - including allergies , sensitivities , previous medical history , religious experience , and emotional situations , to name a few . I grew up with a father who was a heavy smoker . Possibly as a result , I was given large doses of steroids ( to which I became addicted ) because I had asthma throughout much of my adolescence . I was also put on thyroid medication for seven years unnecessarily because , at that time , the measures for thyroid were faulty . So today I suffer from osteoporosis and so have adopted a diet rich in calcium . Fortunately , I am not too lactose intolerant and can handle milk products , unless I pick up a virus . I mention all of this to point out that we all have our individual food needs and should n't feel compelled to tell others what 's good for them .",0
veganism,"I haven't read through all the comments, but I strongly feel that diet (and what keeps one healthy) is extremely individual and dependent on many things-including allergies, sensitivities, previous medical history, religious experience, and emotional situations, to name a few. I grew up with a father who was a heavy smoker. Possibly as a result, I was given large doses of steroids (to which I became addicted) because I had asthma throughout much of my adolescence. I was also put on thyroid medication for seven years unnecessarily because, at that time, the measures for thyroid were faulty. So today I suffer from osteoporosis and so have adopted a diet rich in calcium. Fortunately, I am not too lactose intolerant and can handle milk products, unless I pick up a virus. I mention all of this to point out that we all have our individual food needs and shouldn't feel compelled to tell others what's good for them.","I have n't read through all the comments , but I strongly feel that diet ( and what keeps one healthy ) is extremely individual and dependent on many things - including allergies , sensitivities , previous medical history , religious experience , and emotional situations , to name a few . I grew up with a father who was a heavy smoker . Possibly as a result , I was given large doses of steroids ( to which I became addicted ) because I had asthma throughout much of my adolescence . I was also put on thyroid medication for seven years unnecessarily because , at that time , the measures for thyroid were faulty . So today I suffer from osteoporosis and so have adopted a diet rich in calcium . Fortunately , I am not too lactose intolerant and can handle milk products , unless I pick up a virus . I mention all of this to point out that we all have our individual food needs and should n't feel compelled to tell others what 's good for them .",0
lots of money for a few people,"if the newest product from the biggest Silicon Valley company is one that allows people to get notifications to their wrist so that they dont need to reach into their pocket - while at the same time being touted as fitness health tracker then, yes, the old Silicon Valley died with Steve Jobs 4 years ago.","if the newest product from the biggest Silicon Valley company is one that allows people to get notifications to their wrist so that they do nt need to reach into their pocket - while at the same time being touted as fitness health tracker then , yes , the old Silicon Valley died with Steve Jobs 4 years ago .",0
cities,"Having left NYC many years ago, I eventually came to live in a city of 40,000 that through the generosity of a patron secured the talents of the mid 20th century 'starchitects' and prominent firms. Today this small city and its architectural treasures is an international destination for those interested in architecture. Other than the large cities, where else can you find a collection of work by Saarinen, Venturi, Pei, Meier, Polshek, Stern, S.O.M., Pelli, Weese, Gwathmy, Barnes, The Architects Collaborative and sculptors like Henry Moore, Jon Tinguely, Chihuli. Obviously, none were local.","Having left NYC many years ago , I eventually came to live in a city of 40,000 that through the generosity of a patron secured the talents of the mid 20th century ' starchitects ' and prominent firms . Today this small city and its architectural treasures is an international destination for those interested in architecture . Other than the large cities , where else can you find a collection of work by Saarinen , Venturi , Pei , Meier , Polshek , Stern , S.O.M. , Pelli , Weese , Gwathmy , Barnes , The Architects Collaborative and sculptors like Henry Moore , Jon Tinguely , Chihuli . Obviously , none were local .",1
workplace,"Tips help the resturant owner more than the employee. They don't need to pay SS/Fica taxes on tips, esp if the waitstaff don't report. I still contend that giving someone a tip when I'm done eating does not guarantee me good service. Many simply expect the tip. Some get bent if what you give isn't what they expected even if the tip reflected the service they provided. Business should pay a fair wage, disallow tips and charge accordingly. Then, if they get complaints about shoddy service, deal with the employee accordingly.","Tips help the resturant owner more than the employee . They do n't need to pay SS / Fica taxes on tips , esp if the waitstaff do n't report . I still contend that giving someone a tip when I 'm done eating does not guarantee me good service . Many simply expect the tip . Some get bent if what you give is n't what they expected even if the tip reflected the service they provided . Business should pay a fair wage , disallow tips and charge accordingly . Then , if they get complaints about shoddy service , deal with the employee accordingly .",1
home schoolers,"Our school district is terrrible, and the results even worse. Last year a child was T-Bagged and beaten because he was white by a group of black football players. No one was punished...b/c they were afraid of the moron parents. We send all 3 kids to private school at a considerable expense to ourselves yet the money we pay in taxes goes to the school we had to pull our kids from. Is that fair?","Our school district is terrrible , and the results even worse . Last year a child was T - Bagged and beaten because he was white by a group of black football players . No one was punished ... b / c they were afraid of the moron parents . We send all 3 kids to private school at a considerable expense to ourselves yet the money we pay in taxes goes to the school we had to pull our kids from . Is that fair ?",1
the bar,"Not all who study law want to practice law. They may want to get into business fields where the law degree and some knowledge is helpful. Many students not adept at test taking make wonderful lawyers, not for research perhaps but as litigators. Law Exams in California go for three days and they are very tough but the best top schools have high percentages passing as they take Bar Review courses for a month or so before the actual three day grind. Only graduates from the top law schools with the best grades get the jobs with the giant law firms if that is what you crave you better have passed the bar the first time out. Passing the bar takes hard study and determination. The Law is not a profession for sissies.","Not all who study law want to practice law . They may want to get into business fields where the law degree and some knowledge is helpful . Many students not adept at test taking make wonderful lawyers , not for research perhaps but as litigators . Law Exams in California go for three days and they are very tough but the best top schools have high percentages passing as they take Bar Review courses for a month or so before the actual three day grind . Only graduates from the top law schools with the best grades get the jobs with the giant law firms if that is what you crave you better have passed the bar the first time out . Passing the bar takes hard study and determination . The Law is not a profession for sissies .",1
a threat,"'The nuclear deal also opens unprecedented communication channels between Iran and the United States that may prevent future crises, just as we witnessed with the recent prisoner swap and Tehran's speedy release of detained American sailors.' Thank you. I needed a quick laugh. Our sailors were captured prior to sanctions being lifted, and were not returned until the sanctions were almost lifted, and a 1.7 billion dollar jizya, Islamic tax, was paid for our hostages. Again. Thee was no ""speedy diplomacy,"" or really any kind of rapprochement. The Iranian regime, unlike the Arab Spring, has not moved an iota since 1979. Except that in 10 years, they will have a bomb to fit onto their ICBMs. That will certainly be new. But the answer to this ""debate"" is: ""Are your children, grandchildren, sleeping in Tel Aviv tonight?"" if not, the Iranians look less threatening today. If yes, then you see the truth very clearly.","' The nuclear deal also opens unprecedented communication channels between Iran and the United States that may prevent future crises , just as we witnessed with the recent prisoner swap and Tehran 's speedy release of detained American sailors . ' Thank you . I needed a quick laugh . Our sailors were captured prior to sanctions being lifted , and were not returned until the sanctions were almost lifted , and a 1.7 billion dollar jizya , Islamic tax , was paid for our hostages . Again . Thee was no "" speedy diplomacy , "" or really any kind of rapprochement . The Iranian regime , unlike the Arab Spring , has not moved an iota since 1979 . Except that in 10 years , they will have a bomb to fit onto their ICBMs . That will certainly be new . But the answer to this "" debate "" is : "" Are your children , grandchildren , sleeping in Tel Aviv tonight ? "" if not , the Iranians look less threatening today . If yes , then you see the truth very clearly .",0
government,"Allowing foreign airlines to serve domestic routes is definitely something that doesn't get brought up enough. It's funny how the domestic carriers are all for deregulation and increased competition in theory, but once outside foreign airlines are involved, they rely on what you rightfully point out is antiquated regulation. Fact is that Americans really only have a choice between four airlines for domestic travel and are subject to the whims of these companies. The airline industry is a monopolistic entity and should be treated as such. This means to be required to cooperate with certain regulations.","Allowing foreign airlines to serve domestic routes is definitely something that does n't get brought up enough . It 's funny how the domestic carriers are all for deregulation and increased competition in theory , but once outside foreign airlines are involved , they rely on what you rightfully point out is antiquated regulation . Fact is that Americans really only have a choice between four airlines for domestic travel and are subject to the whims of these companies . The airline industry is a monopolistic entity and should be treated as such . This means to be required to cooperate with certain regulations .",1
nations,"Avital says ""... let's start with the basics. Any nation wishing to declare independence should meet three essential elements: a strong central government, control of defined territory and security. "". Well we could also start with some basics about the legitimacy of a government to govern people under its control. Without expounding broadly, any basic set of rights would lead to changes in the West Bank and Gaza; and maybe within Israel itself. Israel needs to grant more autonomy, stop creating more settlements, and accept the fact there will be violent acts for decades; let's ""get a move on"". The status quo is not working.","Avital says "" ... let 's start with the basics . Any nation wishing to declare independence should meet three essential elements : a strong central government , control of defined territory and security . "" . Well we could also start with some basics about the legitimacy of a government to govern people under its control . Without expounding broadly , any basic set of rights would lead to changes in the West Bank and Gaza ; and maybe within Israel itself . Israel needs to grant more autonomy , stop creating more settlements , and accept the fact there will be violent acts for decades ; let 's "" get a move on "" . The status quo is not working .",0
a problem,"America is the richest nation in the world, nearly twice as rich as we were on a per capita basis just 20 years ago. My resentment is with the hording of resources by a small number of Americans for their own benefit. The GOP supports local control, especially for schools, so the rich won't have to pay the taxes it costs to have a civilized society.","America is the richest nation in the world , nearly twice as rich as we were on a per capita basis just 20 years ago . My resentment is with the hording of resources by a small number of Americans for their own benefit . The GOP supports local control , especially for schools , so the rich wo n't have to pay the taxes it costs to have a civilized society .",0
immigration,We have a woman sitting in federal prison because she refused to abide by the disputed 5-4 ruling of the supreme court. Meanwhile we have entire sanctuary cities in brazen and unrepentant violation of federal immigration laws who suffer zero consequences. Instead they are cheered on by leftist for repudiating and nullifying the federal immigration laws in their communities.,We have a woman sitting in federal prison because she refused to abide by the disputed 5 - 4 ruling of the supreme court . Meanwhile we have entire sanctuary cities in brazen and unrepentant violation of federal immigration laws who suffer zero consequences . Instead they are cheered on by leftist for repudiating and nullifying the federal immigration laws in their communities .,0
