topic,argument,label,tokenized_argument,new_id
a celebrity,"As another commentator mentioned, the widespread use of cell phone cameras and convenient connectivity of the Internet make it easy to catch and publicize celebrities living their lives. In the old days, photography required a large bulky camera, a big flash gun, and time to set up the camera. Today's cell phones take a reasonable-quality photo instantly. Actors and sports figures are not public policy makers. As opposed to public government officials (elected or appointed), celebrities do not decide how much taxes we pay, what laws we must observe, or whether we go to war. As such, they should be give more privacy. In other words, it may be in the public interest to publicize a congressman patronizing a brothel, especially when that congressman takes a high moralistic political position. When an actor or sports figure (or a retired out-of-office politician for that matter) does such a thing, it doesn't affect the rest of us and isn't really a matter of the public interest. Of course, some celebrities like the publicity and generate it themselves. They feel compelled to announce (and the media feels compelled to publish) when they start a new relationship or terminate one.",1,"As another commentator mentioned , the widespread use of cell phone cameras and convenient connectivity of the Internet make it easy to catch and publicize celebrities living their lives . In the old days , photography required a large bulky camera , a big flash gun , and time to set up the camera . Today 's cell phones take a reasonable - quality photo instantly . Actors and sports figures are not public policy makers . As opposed to public government officials ( elected or appointed ) , celebrities do not decide how much taxes we pay , what laws we must observe , or whether we go to war . As such , they should be give more privacy . In other words , it may be in the public interest to publicize a congressman patronizing a brothel , especially when that congressman takes a high moralistic political position . When an actor or sports figure ( or a retired out - of - office politician for that matter ) does such a thing , it does n't affect the rest of us and is n't really a matter of the public interest . Of course , some celebrities like the publicity and generate it themselves . They feel compelled to announce ( and the media feels compelled to publish ) when they start a new relationship or terminate one .",7299
capital gains,"There is also an another equity argument. Capital gains on asset held in retirement accounts are treated as regular income when taken out. Since middle income people will mostly have this form of capital gains they are being unfairly taxed since they do no receive preferential treatment, except for the deferral of those taxes until those gains are received.",1,"There is also an another equity argument . Capital gains on asset held in retirement accounts are treated as regular income when taken out . Since middle income people will mostly have this form of capital gains they are being unfairly taxed since they do no receive preferential treatment , except for the deferral of those taxes until those gains are received .",7277
affirmative action,"If the income based achievement gap is now 2x the size of the race gap, that attests to our under-funding of education, and to our economic policies that create new lower classes for all races for decades. The living standards and security of all have been on a downward path. This shouldn't cancel race affirmative action, since that is an extra layer of roadblocks in the upward path for minorities. Economic policies of the conservatives have for years been working against the gains blacks made in past decades. So even if more whites are poor or near poor than before, still race affirmative action still has a realistic purpose and need. Our legal racial apartheid is all too recent-in my lifetime. And the policies and political messages of our dominant conservative party have still been amplifying negative race messages, using them to win elections.",1,"If the income based achievement gap is now 2x the size of the race gap , that attests to our under - funding of education , and to our economic policies that create new lower classes for all races for decades . The living standards and security of all have been on a downward path . This should n't cancel race affirmative action , since that is an extra layer of roadblocks in the upward path for minorities . Economic policies of the conservatives have for years been working against the gains blacks made in past decades . So even if more whites are poor or near poor than before , still race affirmative action still has a realistic purpose and need . Our legal racial apartheid is all too recent - in my lifetime . And the policies and political messages of our dominant conservative party have still been amplifying negative race messages , using them to win elections .",7273
the atlantic coast,"""I -... - would not support the idea if I doubted our ability to put environmental safeguards in place."" Putting ""environmental safeguards"" in place and preventing disasters are not the same thing. Standard, well intentioned engineering practice in oil production, refining, and transport includes safeguards like double and triple redundant fail safe systems. Still, engineered systems fail and all too recently we've had well-head blowouts (Deep Water Horizon), refinery explosions and fires, and oil transport disasters ranging from pipeline ruptures to tank train derailments to the Exxon Valdez. Imagine a perfect storm situation off Virginia Beach where a well head blowout coincided with a Hurricane Sandy. Crude oil from the Chesapeake to Iceland and a potentially mortal blow to already fragile shore communities and fisheries along the way. The only way to be 100% sure that the East Coast won't suffer catastrophic damage from oil production is to outlaw the outlandishly risky exploitation of hydrocarbons in our salty ocean waters.",1,""" I - ... - would not support the idea if I doubted our ability to put environmental safeguards in place . "" Putting "" environmental safeguards "" in place and preventing disasters are not the same thing . Standard , well intentioned engineering practice in oil production , refining , and transport includes safeguards like double and triple redundant fail safe systems . Still , engineered systems fail and all too recently we 've had well - head blowouts ( Deep Water Horizon ) , refinery explosions and fires , and oil transport disasters ranging from pipeline ruptures to tank train derailments to the Exxon Valdez . Imagine a perfect storm situation off Virginia Beach where a well head blowout coincided with a Hurricane Sandy . Crude oil from the Chesapeake to Iceland and a potentially mortal blow to already fragile shore communities and fisheries along the way . The only way to be 100 % sure that the East Coast wo n't suffer catastrophic damage from oil production is to outlaw the outlandishly risky exploitation of hydrocarbons in our salty ocean waters .",7242
charter schools,Just don't bother to tell me that charter schools are successful because they are better when they succeed by kicking out any child they want to get rid of for any reason they want. And just because the schools you so admire in the past for being run by uneducated sadists doesn't make it right. There's something truly sick about admiring the schools that beat children and kick them out for any behavioral infractions.,0,Just do n't bother to tell me that charter schools are successful because they are better when they succeed by kicking out any child they want to get rid of for any reason they want . And just because the schools you so admire in the past for being run by uneducated sadists does n't make it right . There 's something truly sick about admiring the schools that beat children and kick them out for any behavioral infractions .,7226
a palestinian state,"If the Palestinian cause is ignored again after Israel slaughtered 2100 Palestinians in Gaza including 500  kids among 75% civilians then there is no hope for negotiation. Because the Palestinians are not recognized by Israelis as being divinely created equal with certain unalienable rights including life, liberty and the pursuit of happiness. If America was treating Mexicans and Canadians the way Israel treats Palestinians then it should expect resistance and would deserve it. American revolutionaries used violence to gain their independence. Zionist Jews used violence to obtain their nation state.",1,"If the Palestinian cause is ignored again after Israel slaughtered 2100 Palestinians in Gaza including 500   kids among 75 % civilians then there is no hope for negotiation . Because the Palestinians are not recognized by Israelis as being divinely created equal with certain unalienable rights including life , liberty and the pursuit of happiness . If America was treating Mexicans and Canadians the way Israel treats Palestinians then it should expect resistance and would deserve it . American revolutionaries used violence to gain their independence . Zionist Jews used violence to obtain their nation state .",7213
wealthy colleges,Columbia College allowed me and countless other lower income students to study at one of the great universities of the world for almost no tuition. I graduated from Columbia with no student loans and this has allowed me to practice medicine in rural Upstate New York. I will always be grateful to Columbia and I will continue to contribute money toward their scholarship fund. Why would you want to damage a great university such as Columbia with a new tax policy? The money I contribute helps other students from lower income families attend this wonderful college.,1,Columbia College allowed me and countless other lower income students to study at one of the great universities of the world for almost no tuition . I graduated from Columbia with no student loans and this has allowed me to practice medicine in rural Upstate New York . I will always be grateful to Columbia and I will continue to contribute money toward their scholarship fund . Why would you want to damage a great university such as Columbia with a new tax policy ? The money I contribute helps other students from lower income families attend this wonderful college .,7157
medicare,"The entire Republican agenda regarding healthcare is to siphon off tax dollars to give to insurance companies and not to provide any health care. Same with Social Security, privatize it giving billions to Wall Street to manage to garner fees and lose recipients hard earned money. What a bunch of crooks. Leading the way is the American Enterprise Institute. Super crooks.",1,"The entire Republican agenda regarding healthcare is to siphon off tax dollars to give to insurance companies and not to provide any health care . Same with Social Security , privatize it giving billions to Wall Street to manage to garner fees and lose recipients hard earned money . What a bunch of crooks . Leading the way is the American Enterprise Institute . Super crooks .",7152
a tax break,"I echo the sentiments of others in this thread. As a childless person, it infuriates me to read these arguments. The thought of families getting a $5,000 tax credit -- a payment of $5,000 -- because they don't take advantage of taxpayer-funded schools is outrageous. I pay thousands of dollars a month in taxes for schools that I will never directly take advantage of. Shouldn't I get a tax credit? This philosophy of not paying for public services you don't directly use is poisonous. If you have a huge yard with playground equipment, should you get a tax credit for not using public parks? If you buy books instead of checking them out the library, should you get a tax credit? If you don't have a car and don't use highways, should you get a tax credit? Aside from that, this author's notion that ignoring the Constitution is what got us $14 trillion into debt is ludicrous. A decade of irresponsible tax cuts, two multi-trillion dollar wars and the worst recession of our lifetime has much more to do with it.",0,"I echo the sentiments of others in this thread . As a childless person , it infuriates me to read these arguments . The thought of families getting a $ 5,000 tax credit -- a payment of $ 5,000 -- because they do n't take advantage of taxpayer - funded schools is outrageous . I pay thousands of dollars a month in taxes for schools that I will never directly take advantage of . Should n't I get a tax credit ? This philosophy of not paying for public services you do n't directly use is poisonous . If you have a huge yard with playground equipment , should you get a tax credit for not using public parks ? If you buy books instead of checking them out the library , should you get a tax credit ? If you do n't have a car and do n't use highways , should you get a tax credit ? Aside from that , this author 's notion that ignoring the Constitution is what got us $ 14 trillion into debt is ludicrous . A decade of irresponsible tax cuts , two multi - trillion dollar wars and the worst recession of our lifetime has much more to do with it .",7130
mandatory for all children,"""Unlike in the United Arab Emirates, in America we believe parents are capable of making their own decisions about their children's health. We believe in freedom of choice. This freedom of choice extends to when - and even whether- parents vaccinate their kids."" Oh really? I seem to remember reading about several recent outbreaks of formerly all but eradicated viruses putting the health and lives of many at risk because of the so called ""capable"" choices. And this recent choice is rather new. When I was a child back in the 70sI had to get a back-up MMR shot or be denied access to school. What has changed is organized and ill-informed parents pushing back politically to gain exemptions from sound public policy that has protected the American public for generations. Individual choice should not dominate here. We need herd immunity to ensure our society is protected from serious and even fatal diseases. Parents need to be better educated but I don't think we need to continue to allow ever larger groups of children to go without vaccinations - not only for the broader American public but also those children themselves.",1,""" Unlike in the United Arab Emirates , in America we believe parents are capable of making their own decisions about their children 's health . We believe in freedom of choice . This freedom of choice extends to when - and even whether- parents vaccinate their kids . "" Oh really ? I seem to remember reading about several recent outbreaks of formerly all but eradicated viruses putting the health and lives of many at risk because of the so called "" capable "" choices . And this recent choice is rather new . When I was a child back in the 70sI had to get a back - up MMR shot or be denied access to school . What has changed is organized and ill - informed parents pushing back politically to gain exemptions from sound public policy that has protected the American public for generations . Individual choice should not dominate here . We need herd immunity to ensure our society is protected from serious and even fatal diseases . Parents need to be better educated but I do n't think we need to continue to allow ever larger groups of children to go without vaccinations - not only for the broader American public but also those children themselves .",7066
vaccination,"""Unlike in the United Arab Emirates, in America we believe parents are capable of making their own decisions about their children's health. We believe in freedom of choice. This freedom of choice extends to when - and even whether- parents vaccinate their kids."" Oh really? I seem to remember reading about several recent outbreaks of formerly all but eradicated viruses putting the health and lives of many at risk because of the so called ""capable"" choices. And this recent choice is rather new. When I was a child back in the 70sI had to get a back-up MMR shot or be denied access to school. What has changed is organized and ill-informed parents pushing back politically to gain exemptions from sound public policy that has protected the American public for generations. Individual choice should not dominate here. We need herd immunity to ensure our society is protected from serious and even fatal diseases. Parents need to be better educated but I don't think we need to continue to allow ever larger groups of children to go without vaccinations - not only for the broader American public but also those children themselves.",1,""" Unlike in the United Arab Emirates , in America we believe parents are capable of making their own decisions about their children 's health . We believe in freedom of choice . This freedom of choice extends to when - and even whether- parents vaccinate their kids . "" Oh really ? I seem to remember reading about several recent outbreaks of formerly all but eradicated viruses putting the health and lives of many at risk because of the so called "" capable "" choices . And this recent choice is rather new . When I was a child back in the 70sI had to get a back - up MMR shot or be denied access to school . What has changed is organized and ill - informed parents pushing back politically to gain exemptions from sound public policy that has protected the American public for generations . Individual choice should not dominate here . We need herd immunity to ensure our society is protected from serious and even fatal diseases . Parents need to be better educated but I do n't think we need to continue to allow ever larger groups of children to go without vaccinations - not only for the broader American public but also those children themselves .",7063
parents,"I completely agree with the comments posted by Mike Melcher. Milner used this as an opportunity to push his upcoming book. Yes equality is a problem and has been a problem throughout human existence. He avoided the issue. All kids need to do homework. It is a simple way to see if your child is learning, if they sit down in front of an assignment and have no idea what to do, you as a parent need to be aware of that and help them learn. It's part of the job description, at least in my book. And if I can teach my kid more than someone else, well that's life. Someone will always have more and someone will always have less. I still need to do the best I can.",1,"I completely agree with the comments posted by Mike Melcher . Milner used this as an opportunity to push his upcoming book . Yes equality is a problem and has been a problem throughout human existence . He avoided the issue . All kids need to do homework . It is a simple way to see if your child is learning , if they sit down in front of an assignment and have no idea what to do , you as a parent need to be aware of that and help them learn . It 's part of the job description , at least in my book . And if I can teach my kid more than someone else , well that 's life . Someone will always have more and someone will always have less . I still need to do the best I can .",6988
prostituion,"Those against the legalization of prostitution point to exploitation by employers like the legal brothels in Nevada, as if exploitation of workers is something unique to sex work. As commenter RC pointed out - many workplaces are abusive. There will always be employers who exploit workers no matter what kind of work. You don't respond to exploitation by making the work illegal. It's right up there with people who can't tell the difference between sex slavery and sex work. Sex slavery is horrible - not because it's sex but because it's slavery. But many people, including well-meaning people can't make the distinction because anything to do with sex just throws them into a riot of emotion and they can't calmly and dispassionately distinguish between non-exploitive freely chosen sex-work and exploitation and slavery. And anybody who tries to do look at the issue rationally is branded as naive at best and cold-hearted and colluding with sex traffickers at worst.",1,"Those against the legalization of prostitution point to exploitation by employers like the legal brothels in Nevada , as if exploitation of workers is something unique to sex work . As commenter RC pointed out - many workplaces are abusive . There will always be employers who exploit workers no matter what kind of work . You do n't respond to exploitation by making the work illegal . It 's right up there with people who ca n't tell the difference between sex slavery and sex work . Sex slavery is horrible - not because it 's sex but because it 's slavery . But many people , including well - meaning people ca n't make the distinction because anything to do with sex just throws them into a riot of emotion and they ca n't calmly and dispassionately distinguish between non - exploitive freely chosen sex - work and exploitation and slavery . And anybody who tries to do look at the issue rationally is branded as naive at best and cold - hearted and colluding with sex traffickers at worst .",6979
companies,"We heard the same refrain during the run-up to the housing crash. Fed Chair Alan Greenspan claimed businessmen would regulate themselves. They would look at the long-term risks of originating mortgages without due diligence and refuse. We know how that turned out. Even Greenspan later admitted he was wrong, that business cares only about the next quarter and doesn't care how to get there. Sorry, the markets have spoken. Business cannot be trusted, no matter how much hot air their lobbyists spout. Regulation is absolutely necessary.",0,"We heard the same refrain during the run - up to the housing crash . Fed Chair Alan Greenspan claimed businessmen would regulate themselves . They would look at the long - term risks of originating mortgages without due diligence and refuse . We know how that turned out . Even Greenspan later admitted he was wrong , that business cares only about the next quarter and does n't care how to get there . Sorry , the markets have spoken . Business can not be trusted , no matter how much hot air their lobbyists spout . Regulation is absolutely necessary .",6900
a tax break,Home schooling isn't only a scam designed to de-fund public schools and punish the teachers' unions for supporting Democratic candidates and policies. It is also a scam by some extremist social conservatives to keep women out if the paid labor force. This proposed tax credit should be called what it is--an increase in government spending. Then let the Republicans try to defend it.,0,Home schooling is n't only a scam designed to de - fund public schools and punish the teachers ' unions for supporting Democratic candidates and policies . It is also a scam by some extremist social conservatives to keep women out if the paid labor force . This proposed tax credit should be called what it is -- an increase in government spending . Then let the Republicans try to defend it .,6898
dual citizenship,"I am obtaining dual citizenship for my 9 year old son. I don't want him conscripted to fight in a rich mans war against his own will. A right all people should have, unless conscription is uniformly applied to all citizens NO privileged outs.",1,"I am obtaining dual citizenship for my 9 year old son . I do n't want him conscripted to fight in a rich mans war against his own will . A right all people should have , unless conscription is uniformly applied to all citizens NO privileged outs .",6879
immigration,"So the 65% of my ridiculously large real estate tax bill that goes to the school district should be increased whenever someone comes over our border crying whatever? We need faster deportation and less tolerance for this scam game where our own children are being shortchanged while illegal immigrants soak up all the resources in our towns, cities and country. Enough. Stop the flow by eliminating the benefits.",0,"So the 65 % of my ridiculously large real estate tax bill that goes to the school district should be increased whenever someone comes over our border crying whatever ? We need faster deportation and less tolerance for this scam game where our own children are being shortchanged while illegal immigrants soak up all the resources in our towns , cities and country . Enough . Stop the flow by eliminating the benefits .",6865
tipping,"Tips help the resturant owner more than the employee. They don't need to pay SS/Fica taxes on tips, esp if the waitstaff don't report. I still contend that giving someone a tip when I'm done eating does not guarantee me good service. Many simply expect the tip. Some get bent if what you give isn't what they expected even if the tip reflected the service they provided. Business should pay a fair wage, disallow tips and charge accordingly. Then, if they get complaints about shoddy service, deal with the employee accordingly.",0,"Tips help the resturant owner more than the employee . They do n't need to pay SS / Fica taxes on tips , esp if the waitstaff do n't report . I still contend that giving someone a tip when I 'm done eating does not guarantee me good service . Many simply expect the tip . Some get bent if what you give is n't what they expected even if the tip reflected the service they provided . Business should pay a fair wage , disallow tips and charge accordingly . Then , if they get complaints about shoddy service , deal with the employee accordingly .",6818
mandatory for all children,"We are a stupid species. We have known cures right in front of us. Cures for some of the deadliest diseases, and what do we do? We invite them back by not vaccinating our children. It's not the disease that will wipe out us in the end, but our own ignorance.",1,"We are a stupid species . We have known cures right in front of us . Cures for some of the deadliest diseases , and what do we do ? We invite them back by not vaccinating our children . It 's not the disease that will wipe out us in the end , but our own ignorance .",6775
income,"Yes, let's make college admissions (and even private K- 12 school please) based more on socioeconomics than race. In Silicon Valley, there are many non-Caucasian children of multimillionaires, who live in $3 to $15 million houses, receive as much tutoring and college counseling help as they need, attend expensive summer camps/programs, and travel the world before they are 18 years old. They don't need preferences when it comes to school and college admissions.",0,"Yes , let 's make college admissions ( and even private K- 12 school please ) based more on socioeconomics than race . In Silicon Valley , there are many non - Caucasian children of multimillionaires , who live in $ 3 to $ 15 million houses , receive as much tutoring and college counseling help as they need , attend expensive summer camps / programs , and travel the world before they are 18 years old . They do n't need preferences when it comes to school and college admissions .",6761
college students ' votes,Only problem with students is that they do not vote. Look s recently as states which have just had primary elections during spring break. The sands of Florida and the beer was much more important than to stay in their districts to vote. Don't count on them to bone of any help except the occasional rally as a relief agent to distract from classes.,1,Only problem with students is that they do not vote . Look s recently as states which have just had primary elections during spring break . The sands of Florida and the beer was much more important than to stay in their districts to vote . Do n't count on them to bone of any help except the occasional rally as a relief agent to distract from classes .,6742
pot,"The juvenile attitude in which people treat legalization is embarrassing. We need more study? Contrary to what some believe, cannabis has been around forever, and people have been smoking it forever. We don't need more study, we need to legalize and treat our populace like adults. We do so many things that are much more dangerous but we don't go to jail for them.",1,"The juvenile attitude in which people treat legalization is embarrassing . We need more study ? Contrary to what some believe , cannabis has been around forever , and people have been smoking it forever . We do n't need more study , we need to legalize and treat our populace like adults . We do so many things that are much more dangerous but we do n't go to jail for them .",6708
taxing capital gains,"I am surprised that the Times should give this crackpot idea so much space. Capital gains is the income of the rich. Are the rich supposed to be exempt from taxation? They depend on society to produce their riches. In late-Victorian Britain, the argument was the opposite. Non-work income was 'unearned income' and was taxed at a higher rate. And spare us the argument that low taxes on capital gains promotes economic growth. Under low capital gains tax (since the 1980s) growth was slower than in the post-war periods, when taxes were high. And virtually all the benefits of growth have gone to the rich.",1,"I am surprised that the Times should give this crackpot idea so much space . Capital gains is the income of the rich . Are the rich supposed to be exempt from taxation ? They depend on society to produce their riches . In late - Victorian Britain , the argument was the opposite . Non - work income was ' unearned income ' and was taxed at a higher rate . And spare us the argument that low taxes on capital gains promotes economic growth . Under low capital gains tax ( since the 1980s ) growth was slower than in the post - war periods , when taxes were high . And virtually all the benefits of growth have gone to the rich .",6699
your cat,"Good idea. I have always had a cat or two. While being inhumane, declawing places a cat in danger. Should my charming indoor kitty somehow escape outside, he would have no way to defend himself. Why don't humans have their finger-and tonails removed to save on manicures? Answer: they are important to the functioning and protection of our bodies.",1,"Good idea . I have always had a cat or two . While being inhumane , declawing places a cat in danger . Should my charming indoor kitty somehow escape outside , he would have no way to defend himself . Why do n't humans have their finger - and tonails removed to save on manicures ? Answer : they are important to the functioning and protection of our bodies .",6692
the status of teachers,"This article screams entitlement. After a year, you're an expert? Having been in the trenches of education reform for 25 years before becoming a classroom teacher a few years ago, I can tell you that your youthful arrogance is extremely naive. Whatever talk Washington is talking today will be different than the talk Washington will be talking in a few years. In the meantime, y'all keep flitting in and out of these children's worlds and patting yourselves on the back for making such a difference. I used to admire Teach for America back in the day when it was beginning. It is now populated by such an entitled group of self-serving neophytes who believe only they have THE true answer to the problems of public education that I have lost all respect. Oh, and dear - could you a) list each of the ""much easier ways to burnish a resume,"" and b) look the students and their families in the face when you speak of "",,,hard labor in some of the crummiest classrooms in America?"" I'm sure they'd appreciate the reference.",0,"This article screams entitlement . After a year , you 're an expert ? Having been in the trenches of education reform for 25 years before becoming a classroom teacher a few years ago , I can tell you that your youthful arrogance is extremely naive . Whatever talk Washington is talking today will be different than the talk Washington will be talking in a few years . In the meantime , y' all keep flitting in and out of these children 's worlds and patting yourselves on the back for making such a difference . I used to admire Teach for America back in the day when it was beginning . It is now populated by such an entitled group of self - serving neophytes who believe only they have THE true answer to the problems of public education that I have lost all respect . Oh , and dear - could you a ) list each of the "" much easier ways to burnish a resume , "" and b ) look the students and their families in the face when you speak of "" , , , hard labor in some of the crummiest classrooms in America ? "" I 'm sure they 'd appreciate the reference .",6663
teach for america,"This article screams entitlement. After a year, you're an expert? Having been in the trenches of education reform for 25 years before becoming a classroom teacher a few years ago, I can tell you that your youthful arrogance is extremely naive. Whatever talk Washington is talking today will be different than the talk Washington will be talking in a few years. In the meantime, y'all keep flitting in and out of these children's worlds and patting yourselves on the back for making such a difference. I used to admire Teach for America back in the day when it was beginning. It is now populated by such an entitled group of self-serving neophytes who believe only they have THE true answer to the problems of public education that I have lost all respect. Oh, and dear - could you a) list each of the ""much easier ways to burnish a resume,"" and b) look the students and their families in the face when you speak of "",,,hard labor in some of the crummiest classrooms in America?"" I'm sure they'd appreciate the reference.",0,"This article screams entitlement . After a year , you 're an expert ? Having been in the trenches of education reform for 25 years before becoming a classroom teacher a few years ago , I can tell you that your youthful arrogance is extremely naive . Whatever talk Washington is talking today will be different than the talk Washington will be talking in a few years . In the meantime , y' all keep flitting in and out of these children 's worlds and patting yourselves on the back for making such a difference . I used to admire Teach for America back in the day when it was beginning . It is now populated by such an entitled group of self - serving neophytes who believe only they have THE true answer to the problems of public education that I have lost all respect . Oh , and dear - could you a ) list each of the "" much easier ways to burnish a resume , "" and b ) look the students and their families in the face when you speak of "" , , , hard labor in some of the crummiest classrooms in America ? "" I 'm sure they 'd appreciate the reference .",6659
big banks,"I disagree, the answer is no. Investors are gamblers. Everyone loves the winning gambler but nobody loves the habitual gambler that is on a losing streak. And contrary to common belief, making more money gambling does not equate to making more jobs available in any country with the only exceptions being those places that do not insure safe working conditions nor living wages to their employees. When a huge bank falters it immediately shakes the economy world wide as all the investors world wide begin to lose their gambling balls. When a huge bank falls every bank is affected and more banks will begin to fail as a result. The end is finally a repressed economy that the diminishing middle and lower classes must rescue in order to prevent a depression. And I am not even going to mention the power that large banks have over the election of politicians who have sold their souls to big business that ships jobs overseas or produces items that cause injury to entire societies or the environmentally questionable activities that abound simply to make a fast buck.",0,"I disagree , the answer is no . Investors are gamblers . Everyone loves the winning gambler but nobody loves the habitual gambler that is on a losing streak . And contrary to common belief , making more money gambling does not equate to making more jobs available in any country with the only exceptions being those places that do not insure safe working conditions nor living wages to their employees . When a huge bank falters it immediately shakes the economy world wide as all the investors world wide begin to lose their gambling balls . When a huge bank falls every bank is affected and more banks will begin to fail as a result . The end is finally a repressed economy that the diminishing middle and lower classes must rescue in order to prevent a depression . And I am not even going to mention the power that large banks have over the election of politicians who have sold their souls to big business that ships jobs overseas or produces items that cause injury to entire societies or the environmentally questionable activities that abound simply to make a fast buck .",6629
prostituion,"We have a totally sexually repressive society which is why the question even comes up. It should be legal and under womens control as a sacrament or a temple of sexual expression. And women should have places to go too. Plus since it is expensive there should be clubs that allow sex play short of intercourse and a variety of options for members to mingle. There should be options to minister to the intimacy needy. There should be surrogates for teenagers and perhaps learner permits with sexual education. There should be confidential assistance for teenagers sexual issues, acceptable expression of parphilias and ways to explore without having actual sex. Much violence, abuse, substance abuse, breakup problems and stalking comes from limited options that produce fixations. We have to consider developing love and caring based systems rather than war based systems throughout our society.",0,"We have a totally sexually repressive society which is why the question even comes up . It should be legal and under womens control as a sacrament or a temple of sexual expression . And women should have places to go too . Plus since it is expensive there should be clubs that allow sex play short of intercourse and a variety of options for members to mingle . There should be options to minister to the intimacy needy . There should be surrogates for teenagers and perhaps learner permits with sexual education . There should be confidential assistance for teenagers sexual issues , acceptable expression of parphilias and ways to explore without having actual sex . Much violence , abuse , substance abuse , breakup problems and stalking comes from limited options that produce fixations . We have to consider developing love and caring based systems rather than war based systems throughout our society .",6544
electric cars,"As soon as there is a critical level of EV adoption third parties will spring up to supply a (new!) market for portable EV chargers. I am surprised that Nissan doesn't offer this as an option -- but what the heck, the market will provide. Look at what happened with iPod/iPhone accessories.",1,"As soon as there is a critical level of EV adoption third parties will spring up to supply a ( new ! ) market for portable EV chargers . I am surprised that Nissan does n't offer this as an option -- but what the heck , the market will provide . Look at what happened with iPod / iPhone accessories .",6499
electric cars,"""Most of the benefits of the all-electric vehicle thereby get squeezed out."" --- that's a bit of a stretch, surely? The Volt's range-extender is a necessary compromise but would seem to be an excellent one (for the time being): the ""generator and associated controls, and a gas tank and fuel lines and exhaust system"" are not as large as Professor Smitka makes them out to be.",0,""" Most of the benefits of the all - electric vehicle thereby get squeezed out . "" --- that 's a bit of a stretch , surely ? The Volt 's range - extender is a necessary compromise but would seem to be an excellent one ( for the time being ) : the "" generator and associated controls , and a gas tank and fuel lines and exhaust system "" are not as large as Professor Smitka makes them out to be .",6496
extreme parenting,"Since my son is autistic, my husband and I have had to put aside the typical parenting hopes of a child becoming a Nobel laureate, President of the United States, or Oscar winner. And yet, we are the better for it - each child has their own different level of achievement. I couldn't push him to achieve even if I wanted to, and I am glad that I have learned the folly of that desire so early.",0,"Since my son is autistic , my husband and I have had to put aside the typical parenting hopes of a child becoming a Nobel laureate , President of the United States , or Oscar winner . And yet , we are the better for it - each child has their own different level of achievement . I could n't push him to achieve even if I wanted to , and I am glad that I have learned the folly of that desire so early .",6432
women,"How about obstetricians step up and admit that since men started controlling the birth process in hospital, women have suffered. Unneeded interventions and drugs, artificially induced labours, humiliating practices like shaving pubic hair, twilight sleep, episiotomies, Caesareans scheduled for the convenience of the doctor and his golf game, women with previous Caesareans not allowed to attempt a VBAC, babies and mothers separated at birth. If you're wondering why some women would want a home birth, take a look at yourselves and your practices.",1,"How about obstetricians step up and admit that since men started controlling the birth process in hospital , women have suffered . Unneeded interventions and drugs , artificially induced labours , humiliating practices like shaving pubic hair , twilight sleep , episiotomies , Caesareans scheduled for the convenience of the doctor and his golf game , women with previous Caesareans not allowed to attempt a VBAC , babies and mothers separated at birth . If you 're wondering why some women would want a home birth , take a look at yourselves and your practices .",6417
royal couple,"I think they can be quite normal..Prince Edward and Sophie lead a fairly normal life..although, of course, he is not in line for the throne. And Kate and William have known each other for 8 years..and there does not seem to be a ""Camila"" lurking in his background..with their life under a microscope, we would know! I just hope they can have some privacy. They have many, many mutual friends..so I imagine they will be surrounded by them..entertain them..and they will have their support and love them for who they are..and not because they are in the royal family. She is a lovely, lovely girl..and William has said ""There is something special about her."" Now this is nit- picking...but, she does look a little too thin. And I wish William was not a helicopter co-pilot..it is just too risky! Well..I wish them the best!",1,"I think they can be quite normal .. Prince Edward and Sophie lead a fairly normal life .. although , of course , he is not in line for the throne . And Kate and William have known each other for 8 years .. and there does not seem to be a "" Camila "" lurking in his background .. with their life under a microscope , we would know ! I just hope they can have some privacy . They have many , many mutual friends .. so I imagine they will be surrounded by them .. entertain them .. and they will have their support and love them for who they are .. and not because they are in the royal family . She is a lovely , lovely girl .. and William has said "" There is something special about her . "" Now this is nit- picking ... but , she does look a little too thin . And I wish William was not a helicopter co - pilot .. it is just too risky ! Well .. I wish them the best !",6400
same-sex colleges,"There are no women only law schools. Womens' colleges, like Mills College, that do offer graduate degrees have co-ed graduate schools. The example of Hillary Clinton's success at Yale Law School either says nothing about womens' colleges or supports them.",1,"There are no women only law schools . Womens ' colleges , like Mills College , that do offer graduate degrees have co - ed graduate schools . The example of Hillary Clinton 's success at Yale Law School either says nothing about womens ' colleges or supports them .",6384
mandatory for all children,"Why should other people's children be put at risk for someones religious beliefs? What gives them the right to to refuse such. Why is religion allowed to negate public safety? Why do we allow religious beliefs primacy over scientific facts, and knowledge?",0,"Why should other people 's children be put at risk for someones religious beliefs ? What gives them the right to to refuse such . Why is religion allowed to negate public safety ? Why do we allow religious beliefs primacy over scientific facts , and knowledge ?",6375
