topic,argument,label,tokenized_argument
people,"On an IQ test, the average person would have exactly the same score as the average person in his grandparents' time. That is 100! The author is referring to the raw unadjusted score. All IQ tests are set so that the mean, median, and mode equal 100! Unless the author has access to old IQ test raw scores, the assumption of increasing average IQ scores would be difficult to demonstrate.",1,"On an IQ test , the average person would have exactly the same score as the average person in his grandparents ' time . That is 100 ! The author is referring to the raw unadjusted score . All IQ tests are set so that the mean , median , and mode equal 100 ! Unless the author has access to old IQ test raw scores , the assumption of increasing average IQ scores would be difficult to demonstrate ."
the threat,"Of course, immigrants take jobs away from younger less educated american citizens. Immigrants work for lower wages, and rely on government assistance to pay their bills. A majority of immigrant families rely on gov assistance. 75& go hispanic immigrant families receive gov assistance. the immigrant families can't make ends meet without gov assistance. Their wages are just their secondary source of income. The young american citizens can't live on the lower wages, so they stop applying for the low wage jobs. Heres an example, sheet rock work in home construction, which used to be done by black contractors and laborers, is now done exclusively by spanish speakers in my town. Those jobs paid well in the past, but real wages have dropped, lately",1,"Of course , immigrants take jobs away from younger less educated american citizens . Immigrants work for lower wages , and rely on government assistance to pay their bills . A majority of immigrant families rely on gov assistance . 75 & go hispanic immigrant families receive gov assistance . the immigrant families ca n't make ends meet without gov assistance . Their wages are just their secondary source of income . The young american citizens ca n't live on the lower wages , so they stop applying for the low wage jobs . Heres an example , sheet rock work in home construction , which used to be done by black contractors and laborers , is now done exclusively by spanish speakers in my town . Those jobs paid well in the past , but real wages have dropped , lately"
enough,"We need a secure country, not just a secure border. We need mandatory use of E-Verify and laws making it illegal to stay in the US without an valid visa and mandate that ICE has to deport. Unemployment, especially among young, is horendous. I do not like it, but I will trade Dream Act for secure country. But I will not give away amnesty without changes going forward.",1,"We need a secure country , not just a secure border . We need mandatory use of E - Verify and laws making it illegal to stay in the US without an valid visa and mandate that ICE has to deport . Unemployment , especially among young , is horendous . I do not like it , but I will trade Dream Act for secure country . But I will not give away amnesty without changes going forward ."
syria,"Even with evidence of poison gas having been used, how do we know which side was responsible? And, yes President Bashar al-Assad is bad -- but we have no reason to know (if we aid his opponents) who they are and what they will do. They could be worse. So, without more information... DO NOTHING.",1,"Even with evidence of poison gas having been used , how do we know which side was responsible ? And , yes President Bashar al - Assad is bad -- but we have no reason to know ( if we aid his opponents ) who they are and what they will do . They could be worse . So , without more information ... DO NOTHING ."
a smart investment,"I would like to suggest an additional choice. If we are going to subsidize preschool or child care, why not also subsidize parents who want to stay home with their children but can't afford to? We are constantly being urged to copy European measures to provide care for children outside the home, but we are never urged to follow the example of Finland, France, Norway, Belgium and Austria by also providing parental home-care allowances. Why the selectivity? I am afraid it is because while feminism claims to oppose our tendency to hold the work of childcare in low regard - a tendency which predates second-wave feminism - it has done virtually nothing to correct that prejudice. Instead it supports an everybody-into-the-workforce ideology which in turn relies on the availability of underpaid childcare.",1,"I would like to suggest an additional choice . If we are going to subsidize preschool or child care , why not also subsidize parents who want to stay home with their children but ca n't afford to ? We are constantly being urged to copy European measures to provide care for children outside the home , but we are never urged to follow the example of Finland , France , Norway , Belgium and Austria by also providing parental home - care allowances . Why the selectivity ? I am afraid it is because while feminism claims to oppose our tendency to hold the work of childcare in low regard - a tendency which predates second - wave feminism - it has done virtually nothing to correct that prejudice . Instead it supports an everybody - into - the - workforce ideology which in turn relies on the availability of underpaid childcare ."
experience,"I taught high school English for forty years, and the first five years were my apprenticeship. Under the guidance of a brilliant department head, I learned what good teaching requires: hard work, a willingness to take risks, the ability to make strong connections with students, and the desire to be a life-long learner. I feel that I became better decade by decade, and I retired only when it became impossible to get that second burst of energy in the afternoon after students had left for the day. I loved almost every minute in the classroom, but at 68, I knew it was time for me to go.",1,"I taught high school English for forty years , and the first five years were my apprenticeship . Under the guidance of a brilliant department head , I learned what good teaching requires : hard work , a willingness to take risks , the ability to make strong connections with students , and the desire to be a life - long learner . I feel that I became better decade by decade , and I retired only when it became impossible to get that second burst of energy in the afternoon after students had left for the day . I loved almost every minute in the classroom , but at 68 , I knew it was time for me to go ."
tfa,"This article screams entitlement. After a year, you're an expert? Having been in the trenches of education reform for 25 years before becoming a classroom teacher a few years ago, I can tell you that your youthful arrogance is extremely naive. Whatever talk Washington is talking today will be different than the talk Washington will be talking in a few years. In the meantime, y'all keep flitting in and out of these children's worlds and patting yourselves on the back for making such a difference. I used to admire Teach for America back in the day when it was beginning. It is now populated by such an entitled group of self-serving neophytes who believe only they have THE true answer to the problems of public education that I have lost all respect. Oh, and dear - could you a) list each of the ""much easier ways to burnish a resume,"" and b) look the students and their families in the face when you speak of "",,,hard labor in some of the crummiest classrooms in America?"" I'm sure they'd appreciate the reference.",0,"This article screams entitlement . After a year , you 're an expert ? Having been in the trenches of education reform for 25 years before becoming a classroom teacher a few years ago , I can tell you that your youthful arrogance is extremely naive . Whatever talk Washington is talking today will be different than the talk Washington will be talking in a few years . In the meantime , y' all keep flitting in and out of these children 's worlds and patting yourselves on the back for making such a difference . I used to admire Teach for America back in the day when it was beginning . It is now populated by such an entitled group of self - serving neophytes who believe only they have THE true answer to the problems of public education that I have lost all respect . Oh , and dear - could you a ) list each of the "" much easier ways to burnish a resume , "" and b ) look the students and their families in the face when you speak of "" , , , hard labor in some of the crummiest classrooms in America ? "" I 'm sure they 'd appreciate the reference ."
the status of teachers,"This article screams entitlement. After a year, you're an expert? Having been in the trenches of education reform for 25 years before becoming a classroom teacher a few years ago, I can tell you that your youthful arrogance is extremely naive. Whatever talk Washington is talking today will be different than the talk Washington will be talking in a few years. In the meantime, y'all keep flitting in and out of these children's worlds and patting yourselves on the back for making such a difference. I used to admire Teach for America back in the day when it was beginning. It is now populated by such an entitled group of self-serving neophytes who believe only they have THE true answer to the problems of public education that I have lost all respect. Oh, and dear - could you a) list each of the ""much easier ways to burnish a resume,"" and b) look the students and their families in the face when you speak of "",,,hard labor in some of the crummiest classrooms in America?"" I'm sure they'd appreciate the reference.",0,"This article screams entitlement . After a year , you 're an expert ? Having been in the trenches of education reform for 25 years before becoming a classroom teacher a few years ago , I can tell you that your youthful arrogance is extremely naive . Whatever talk Washington is talking today will be different than the talk Washington will be talking in a few years . In the meantime , y' all keep flitting in and out of these children 's worlds and patting yourselves on the back for making such a difference . I used to admire Teach for America back in the day when it was beginning . It is now populated by such an entitled group of self - serving neophytes who believe only they have THE true answer to the problems of public education that I have lost all respect . Oh , and dear - could you a ) list each of the "" much easier ways to burnish a resume , "" and b ) look the students and their families in the face when you speak of "" , , , hard labor in some of the crummiest classrooms in America ? "" I 'm sure they 'd appreciate the reference ."
government,"I would agree that fares dropped between the big hubs, but for us who live in the hinterlands and have to drive 2 hours to an airport which is served by a grand total of 2 airlines, not so much. Airfares on the two airlines are always within 10 dollars of each other. The airfare for a 45 minute flight to the hub is about the same as any flight from that hub to any other destination so the end result is flying costs twice as much than if you flew from a hub. The end result is the hub and spoke system results in lower fares where there is competition and a virtual oligopoly at the end of each spoke. Granted, it is not a monopoly which would cause scrutiny, but the airlines collusion acts like one. Add to that, most of the flying public knows what happens with a weather related problem at a hub. The ripple effects throughout the system impact much more than just one hub. Sorry, deregulation resulted in much higher fares and much worse service when weather intervenes.",0,"I would agree that fares dropped between the big hubs , but for us who live in the hinterlands and have to drive 2 hours to an airport which is served by a grand total of 2 airlines , not so much . Airfares on the two airlines are always within 10 dollars of each other . The airfare for a 45 minute flight to the hub is about the same as any flight from that hub to any other destination so the end result is flying costs twice as much than if you flew from a hub . The end result is the hub and spoke system results in lower fares where there is competition and a virtual oligopoly at the end of each spoke . Granted , it is not a monopoly which would cause scrutiny , but the airlines collusion acts like one . Add to that , most of the flying public knows what happens with a weather related problem at a hub . The ripple effects throughout the system impact much more than just one hub . Sorry , deregulation resulted in much higher fares and much worse service when weather intervenes ."
the atlantic coast,"Now would be a good time to begin instituting a serious conservation program to obviate the need for whatever oil might be found off shore in the Atlantic. What's so good about more oil? It is polluting the planet to a dangerous degree, we lust for it to the extent of going to war for it. Our modern civilization runs on machines that run on it. But there are realistic alternatives that can be developed. Going after more oil instead merely perpetuates a sunk cost fallacy that says we are in too deep to try something else and further enriches a few corporations at the expense of our shared planet. The earth is a finite place and everything in it is of limited quantity. Sooner than you think we will have no choice but to explore other options. Why wait until there is a crisis?",0,"Now would be a good time to begin instituting a serious conservation program to obviate the need for whatever oil might be found off shore in the Atlantic . What 's so good about more oil ? It is polluting the planet to a dangerous degree , we lust for it to the extent of going to war for it . Our modern civilization runs on machines that run on it . But there are realistic alternatives that can be developed . Going after more oil instead merely perpetuates a sunk cost fallacy that says we are in too deep to try something else and further enriches a few corporations at the expense of our shared planet . The earth is a finite place and everything in it is of limited quantity . Sooner than you think we will have no choice but to explore other options . Why wait until there is a crisis ?"
a threat,"In considering the threat posed by Iran, it's important to remember that Iran has not invaded any of its neighbors. We have supported Iraq's invasion of Iran, under Saddam and even assisted Iraq in targeting chemical weapons attacks upon Iranian forces. We also supported the Shah, throughout his tenure, including over-throwing an elected government and installing the Shah. Iran has far more reason to distrust and fear us than the other way around. It also needs to be understood that Iran is presently in Iraq and Syria at the invitation of the official governments of those nations (with the Iraqi leader having basically been chosen by us), while the Syrian government does not want us in Syria and the Iraqi government is ambivalent at best about our presence. Waging combat through surrogates is actually the approach of a weak and cautious nation, not a strong and confident regional power. In terms of Americans and Westerners killed and threatened, Saudi Arabia is a far worse actor than Iran. In terms of the killing in Syria, Saudi Arabia is also a far worse actor than Iran.",0,"In considering the threat posed by Iran , it 's important to remember that Iran has not invaded any of its neighbors . We have supported Iraq 's invasion of Iran , under Saddam and even assisted Iraq in targeting chemical weapons attacks upon Iranian forces . We also supported the Shah , throughout his tenure , including over - throwing an elected government and installing the Shah . Iran has far more reason to distrust and fear us than the other way around . It also needs to be understood that Iran is presently in Iraq and Syria at the invitation of the official governments of those nations ( with the Iraqi leader having basically been chosen by us ) , while the Syrian government does not want us in Syria and the Iraqi government is ambivalent at best about our presence . Waging combat through surrogates is actually the approach of a weak and cautious nation , not a strong and confident regional power . In terms of Americans and Westerners killed and threatened , Saudi Arabia is a far worse actor than Iran . In terms of the killing in Syria , Saudi Arabia is also a far worse actor than Iran ."
affirmative actions,"What we should be looking for are fairer opportunities and more equal outcomes. Race-based admissions are not about outcomes but about a preference. It's revanchist - plain and simple. It's taking away slots from low-income white kids with high aptitude and giving them to middle-income black kids with mediocre aptitude. It's punishing them for something they had nothing to do with. If you can't understand that then you'll never understand the powder-keg of white resentment in red state america. Poor kids deserve a leg up because being poor saddles kids with a whole host of disadvantages that they didn't ask for. To say that rich, black kids deserve a leg up because they're black shows a serious lack of a sense of irony.",0,"What we should be looking for are fairer opportunities and more equal outcomes . Race - based admissions are not about outcomes but about a preference . It 's revanchist - plain and simple . It 's taking away slots from low - income white kids with high aptitude and giving them to middle - income black kids with mediocre aptitude . It 's punishing them for something they had nothing to do with . If you ca n't understand that then you 'll never understand the powder - keg of white resentment in red state america . Poor kids deserve a leg up because being poor saddles kids with a whole host of disadvantages that they did n't ask for . To say that rich , black kids deserve a leg up because they 're black shows a serious lack of a sense of irony ."
income,"What we should be looking for are fairer opportunities and more equal outcomes. Race-based admissions are not about outcomes but about a preference. It's revanchist - plain and simple. It's taking away slots from low-income white kids with high aptitude and giving them to middle-income black kids with mediocre aptitude. It's punishing them for something they had nothing to do with. If you can't understand that then you'll never understand the powder-keg of white resentment in red state america. Poor kids deserve a leg up because being poor saddles kids with a whole host of disadvantages that they didn't ask for. To say that rich, black kids deserve a leg up because they're black shows a serious lack of a sense of irony.",0,"What we should be looking for are fairer opportunities and more equal outcomes . Race - based admissions are not about outcomes but about a preference . It 's revanchist - plain and simple . It 's taking away slots from low - income white kids with high aptitude and giving them to middle - income black kids with mediocre aptitude . It 's punishing them for something they had nothing to do with . If you ca n't understand that then you 'll never understand the powder - keg of white resentment in red state america . Poor kids deserve a leg up because being poor saddles kids with a whole host of disadvantages that they did n't ask for . To say that rich , black kids deserve a leg up because they 're black shows a serious lack of a sense of irony ."
the u.s.,"This is one of the most intelligent articles I have read on Syria. Hoffman is right -- this is a civil war, and only the Syrians can resolve it. We need to stay out of this - it is not our concern.",1,"This is one of the most intelligent articles I have read on Syria . Hoffman is right -- this is a civil war , and only the Syrians can resolve it . We need to stay out of this - it is not our concern ."
mandatory in college,"When I was in high school I had to study Latin for two years and I had to study a modern language. I chose German. Later in college I continued my studies in German and took up Russian. As an older adult I took courses in Modern Irish and Old Irish. Now, as a septuagenarian, I am studying Brazilian Portuguese. Why? because learning another language gives you the ability to understand how other people on the planet think. Yes, Cassandra, you need to learn how to think but you also need to understand how other peoples think in order to be a citizen of this world.",1,"When I was in high school I had to study Latin for two years and I had to study a modern language . I chose German . Later in college I continued my studies in German and took up Russian . As an older adult I took courses in Modern Irish and Old Irish . Now , as a septuagenarian , I am studying Brazilian Portuguese . Why ? because learning another language gives you the ability to understand how other people on the planet think . Yes , Cassandra , you need to learn how to think but you also need to understand how other peoples think in order to be a citizen of this world ."
a legitimate threat,I have said before in these pages that I will never again vote for the lesser of two evils. Now I see that I must add that I will never vote for an over population denier or a global warming denier. Please New York Times and other media outlets make the candidates take a stand on these issues. We must have true leaders more than ever now.,0,I have said before in these pages that I will never again vote for the lesser of two evils . Now I see that I must add that I will never vote for an over population denier or a global warming denier . Please New York Times and other media outlets make the candidates take a stand on these issues . We must have true leaders more than ever now .
women,"The solution to the risks posed by hospitals is not to move procedures into the home, but to aggressively work on reducing the risks and improving hospital settings. No one would have a triple bypass in their living room just because they are more likely to get an infection in the hospital. The risk of infection is being addressed: a major campaign in many hospitals has successfully reduced the risk, and that is the right direction. Move forward, not backward.",1,"The solution to the risks posed by hospitals is not to move procedures into the home , but to aggressively work on reducing the risks and improving hospital settings . No one would have a triple bypass in their living room just because they are more likely to get an infection in the hospital . The risk of infection is being addressed : a major campaign in many hospitals has successfully reduced the risk , and that is the right direction . Move forward , not backward ."
college students ' votes,"College kids are the one demographic guaranteed to think critically; learning to is their full-time job. They question everything and are therefore the demographic least susceptible to platitudes and pandering. They also have the best chance of knowing something about history besides jingoistic propaganda. The Clinton campaign is clearly worried about them, and crowd-sourcing exercises like this one are searching for a reliable way to manipulating them away from voting for Bernie. I find it amusing that a Clinton partisan thinks college kids are looking for perks paid for by their parents' generstion when they obviously are fed up with being ripped off by the 1%.",0,"College kids are the one demographic guaranteed to think critically ; learning to is their full - time job . They question everything and are therefore the demographic least susceptible to platitudes and pandering . They also have the best chance of knowing something about history besides jingoistic propaganda . The Clinton campaign is clearly worried about them , and crowd - sourcing exercises like this one are searching for a reliable way to manipulating them away from voting for Bernie . I find it amusing that a Clinton partisan thinks college kids are looking for perks paid for by their parents ' generstion when they obviously are fed up with being ripped off by the 1 % ."
a tax break,"Bruce S. Cooper's reasoning lacks supporting evidence: home-schooling parents do not save the taxpayers any money just as parents' whose ill children miss several days of public school do not save taxpayers money. Nor do parents who send their children to parochial schools save tax dollars. Public schools still have to be built, maintained and staffed regardless of whether some families keep its children at home or choose to send their children to private or parochial schools. Public education must plan and staff to educate _every_ child in the district. I have yet to see any empirical evidence to support the idea that home-schooling or private or religious schools save the taxpayers' money. Flinging around statistics about the average per pupil cost of public education is not the same thing as providing evidence that private or home education reduce the necessary expenditures of public school systems. Can anyone cite any tax bill which was reduced when when parochial schools closed? Mary Askew",0,"Bruce S. Cooper 's reasoning lacks supporting evidence : home - schooling parents do not save the taxpayers any money just as parents ' whose ill children miss several days of public school do not save taxpayers money . Nor do parents who send their children to parochial schools save tax dollars . Public schools still have to be built , maintained and staffed regardless of whether some families keep its children at home or choose to send their children to private or parochial schools . Public education must plan and staff to educate _ every _ child in the district . I have yet to see any empirical evidence to support the idea that home - schooling or private or religious schools save the taxpayers ' money . Flinging around statistics about the average per pupil cost of public education is not the same thing as providing evidence that private or home education reduce the necessary expenditures of public school systems . Can anyone cite any tax bill which was reduced when when parochial schools closed ? Mary Askew"
medicine,"As a psychologist, I would like to point out that while there are certainly abuses with psychiatric drugs, I see the opposite in my practice. Almost of of my patients vehemently oppose the use of anti-depressants even when they are clearly indicated. I work with them in psychotherapy, but in many cases the results of the therapy (many forms of therapy, including evidenced based cogntive-behavioral, interpersonal, etc). are quite slow, limited, sometimes non-existent, and there is often relapse. In such cases, the ideal treatment is psychotherapy plus antidepressant. The meds help the patient use and retain skills learned in therapy. Both, not one or the other. Also, I usually refer to knowledgeable (and kind) psychiatrist, not general practitions who may not know these drugs very well. The problem is not antidepressants per se, its the improper consumer advertsising, further mis-prescription and monitoring of the drugs, and lack of referral for effective psychotherapy in conjunction with meds.",1,"As a psychologist , I would like to point out that while there are certainly abuses with psychiatric drugs , I see the opposite in my practice . Almost of of my patients vehemently oppose the use of anti - depressants even when they are clearly indicated . I work with them in psychotherapy , but in many cases the results of the therapy ( many forms of therapy , including evidenced based cogntive - behavioral , interpersonal , etc ) . are quite slow , limited , sometimes non - existent , and there is often relapse . In such cases , the ideal treatment is psychotherapy plus antidepressant . The meds help the patient use and retain skills learned in therapy . Both , not one or the other . Also , I usually refer to knowledgeable ( and kind ) psychiatrist , not general practitions who may not know these drugs very well . The problem is not antidepressants per se , its the improper consumer advertsising , further mis - prescription and monitoring of the drugs , and lack of referral for effective psychotherapy in conjunction with meds ."
a smart investment,"Since the creation of the Dept. of Education, billions of dollars have been spent to improve public education. Spending per student continues to increase while student performance has been flat, or by some measures, has decreased. With this record, can anyone justify universal pre-school? Brick and mortar schools are becoming dinosaurs. Charter schools, home-schooling and approaches are being chosen by many families who see public schools as inadequate, and public school teachers as captives of the politics of the teacher's unions. With this trend, can anyone justify expanding public educaiton to include 4 and 5 year olds?",0,"Since the creation of the Dept . of Education , billions of dollars have been spent to improve public education . Spending per student continues to increase while student performance has been flat , or by some measures , has decreased . With this record , can anyone justify universal pre - school ? Brick and mortar schools are becoming dinosaurs . Charter schools , home - schooling and approaches are being chosen by many families who see public schools as inadequate , and public school teachers as captives of the politics of the teacher 's unions . With this trend , can anyone justify expanding public educaiton to include 4 and 5 year olds ?"
capital gains,The single largest source of capital for companies is the profits on the things they sell. The beatification of stock investors proves only that the very wealthy control the debate. The claim that the wealthy will go Galt with their money if capital gains taxes are raised let alone not lowered is simply stupid: where would they go? The wealthy have enough money that they can live were they want irrespective of the cost - they choose to live in America because we have a country that collects enough taxes to function reasonably well. If only taxes mattered the wealthy would live in Haiti or other tax paradises. The Cato institute lobbying group points at data showing capital outflows but deliberately neglects the nearly equivalent inflows from other countries. The Cato institute deliberately neglects the historical record showing a vibrant Amercan economy when capital gains taxes were more than twice their current level. The Cato institute pretends that companies in the US are somehow capital starved rather than sitting on piles of cash and buying up stock at great rate.,1,The single largest source of capital for companies is the profits on the things they sell . The beatification of stock investors proves only that the very wealthy control the debate . The claim that the wealthy will go Galt with their money if capital gains taxes are raised let alone not lowered is simply stupid : where would they go ? The wealthy have enough money that they can live were they want irrespective of the cost - they choose to live in America because we have a country that collects enough taxes to function reasonably well . If only taxes mattered the wealthy would live in Haiti or other tax paradises . The Cato institute lobbying group points at data showing capital outflows but deliberately neglects the nearly equivalent inflows from other countries . The Cato institute deliberately neglects the historical record showing a vibrant Amercan economy when capital gains taxes were more than twice their current level . The Cato institute pretends that companies in the US are somehow capital starved rather than sitting on piles of cash and buying up stock at great rate .
sports program in undergraduate schools,"Do ANY programs make money after taking into account: Amortization of physical plant including all athletic venues and buildings occupied exclusively by coaches, staff and athletes. Maintenance, heating, cooling, groundskeeping, police & fire protection for all athletic facilities and the territory that surrounds them. Administrator time spent dealing with athletic scandals, criminal athletes, and spoiled coaches. Subsidized travel to post season games by administrators and board members. Also consider: The total amount of tax deductible contributions to higher ed is likely to be a relatively fixed sum within any given set of tax laws. Therefore athletic department contributions subtract from contributions to legitimate academic purposes and should be counted as a cost, not a benefit.",0,"Do ANY programs make money after taking into account : Amortization of physical plant including all athletic venues and buildings occupied exclusively by coaches , staff and athletes . Maintenance , heating , cooling , groundskeeping , police & fire protection for all athletic facilities and the territory that surrounds them . Administrator time spent dealing with athletic scandals , criminal athletes , and spoiled coaches . Subsidized travel to post season games by administrators and board members . Also consider : The total amount of tax deductible contributions to higher ed is likely to be a relatively fixed sum within any given set of tax laws . Therefore athletic department contributions subtract from contributions to legitimate academic purposes and should be counted as a cost , not a benefit ."
women,"This is a wonderful article. I have had 3 births, the first 2 were in the hospital, and my 3rd was at home. I had awful experiences in the hospital with feeling like my freedom was taken away. I felt like I was shackled to the bed from the moment I walked in. My home birth was by far the best decision I have ever made. The experience is almost indescribable. Don't get me wrong, my first 2 births are special to me only because it was the moment my beautiful children came into this world. I just wish I knew then what I know now. With my home birth, I had an absolutely wonderful midwife who monitored me, but also aloud me to have control and let my body do what it was meant to do: give birth. Pregnancy is not a sickness, and I refuse to allow it to be treated as such.",1,"This is a wonderful article . I have had 3 births , the first 2 were in the hospital , and my 3rd was at home . I had awful experiences in the hospital with feeling like my freedom was taken away . I felt like I was shackled to the bed from the moment I walked in . My home birth was by far the best decision I have ever made . The experience is almost indescribable . Do n't get me wrong , my first 2 births are special to me only because it was the moment my beautiful children came into this world . I just wish I knew then what I know now . With my home birth , I had an absolutely wonderful midwife who monitored me , but also aloud me to have control and let my body do what it was meant to do : give birth . Pregnancy is not a sickness , and I refuse to allow it to be treated as such ."
genes,"No they should not be able to patent a human gene. They didn't create it. The gene has been there all along. Certainly the company owns the testing mechanism they develop. If someone developed a technique to alter genes so they are not destructive to us, that method is theirs to patent. But the ownership of the gene belongs to the people who carry them.",1,"No they should not be able to patent a human gene . They did n't create it . The gene has been there all along . Certainly the company owns the testing mechanism they develop . If someone developed a technique to alter genes so they are not destructive to us , that method is theirs to patent . But the ownership of the gene belongs to the people who carry them ."
birthright citizenship,"So, the 14th Amendment to the Constitution is not in the Constitution. So it won't take a Constitutional Amendment to repeal the 14th Amendment. So much for the opinion of a professor from a law school that nobody ever heard of.",0,"So , the 14th Amendment to the Constitution is not in the Constitution . So it wo n't take a Constitutional Amendment to repeal the 14th Amendment . So much for the opinion of a professor from a law school that nobody ever heard of ."
mandatory in college,"I have a Ph.D. in Chemical Engineering. According to other comments on this article, I have no use for a foreign language - yet I'm fluent in two and can get by in two more. It's enabled me to work easily with multinational contractors, to better understand supply chains and logistics in Europe because I had to LISTEN more closely when it wasn't presented in English, to be perceived as a good representative of the US - not as someone who insists on English only and someone who pretends that speaking English LOUDER suddenly makes it comprehensible to non-English speakers. Even if a person never achieves fluency, the ability to try to reach across the language gap is invauable as a life skill. I use it quite by accident/coincidence every time I visit New York.",0,"I have a Ph.D. in Chemical Engineering . According to other comments on this article , I have no use for a foreign language - yet I 'm fluent in two and can get by in two more . It 's enabled me to work easily with multinational contractors , to better understand supply chains and logistics in Europe because I had to LISTEN more closely when it was n't presented in English , to be perceived as a good representative of the US - not as someone who insists on English only and someone who pretends that speaking English LOUDER suddenly makes it comprehensible to non - English speakers . Even if a person never achieves fluency , the ability to try to reach across the language gap is invauable as a life skill . I use it quite by accident / coincidence every time I visit New York ."
a tax break,"""The sentiment is right: Home schooling parents shouldn't have to pay for schools they don't use then pay again for education they do."" The sentiment is completely wrong. Everyone should pay for education because everyone benefits from an educated population. I have no children in school today, but when I need a nurse or doctor in 30 years where will they come from if not from children my tax dollars are educating today? The question of how best to achieve high quality schools is another debate entirely. But the need for them is irrefutable.",0,""" The sentiment is right : Home schooling parents should n't have to pay for schools they do n't use then pay again for education they do . "" The sentiment is completely wrong . Everyone should pay for education because everyone benefits from an educated population . I have no children in school today , but when I need a nurse or doctor in 30 years where will they come from if not from children my tax dollars are educating today ? The question of how best to achieve high quality schools is another debate entirely . But the need for them is irrefutable ."
airline industry,"Free market forces work well when there is a direct and obvious connection between the purchase and the consumption of goods and services. Not so well, when the provider of the goods and services is able to hide price behind layers of obfuscation and indirection. The airlines, very much like health care insurers and providers, make it almost impossible to know up front what you are buying and what it will cost. Just like health care insurers and providers, the purchaser of air transportation is often a business with a different set of priorities from those of the ultimate consumer --- we the people. Under those circumstances, only intelligent and knowledgeable regulation can work.",0,"Free market forces work well when there is a direct and obvious connection between the purchase and the consumption of goods and services . Not so well , when the provider of the goods and services is able to hide price behind layers of obfuscation and indirection . The airlines , very much like health care insurers and providers , make it almost impossible to know up front what you are buying and what it will cost . Just like health care insurers and providers , the purchaser of air transportation is often a business with a different set of priorities from those of the ultimate consumer --- we the people . Under those circumstances , only intelligent and knowledgeable regulation can work ."
illegal labor,"Mining is also an intolerable job, but people do it because they are paid much more than they could make at any other available job, I believe about $60K/year which is good money in the poor parts of the country. LOTS of jobs are difficult and/or dangerous but they pay enough to attract people, at least people who don't readily have better options. This is STRICTLY a matter of wages. For $60K/year, I betcha lots of people would learn to pick vegetables and fruit.",0,"Mining is also an intolerable job , but people do it because they are paid much more than they could make at any other available job , I believe about $ 60K / year which is good money in the poor parts of the country . LOTS of jobs are difficult and/or dangerous but they pay enough to attract people , at least people who do n't readily have better options . This is STRICTLY a matter of wages . For $ 60K / year , I betcha lots of people would learn to pick vegetables and fruit ."
mother teresa,"Someone who insists on using blunt needles on poor patients in order to save money while having millions in the back, can hardly be called a saint! Mother Teresa wallowed in the pain and suffering, mainly the pain and suffering of poor people - she thought it was good for them.",0,"Someone who insists on using blunt needles on poor patients in order to save money while having millions in the back , can hardly be called a saint ! Mother Teresa wallowed in the pain and suffering , mainly the pain and suffering of poor people - she thought it was good for them ."
people,"In our society, people have to be told that their coffee is very hot, or to remove the plastic wrap of something before eating. I can't imagine people having to be informed about this years ago. IQ tests college degrees do not mean anything if he/she wants to put their finger in an electrical socket to find out if it works. I would say people are more educated than a generation ago, but there is a huge lack of common sense today which unfortunately you can not teach. Other than protecting people from themselves by putting them in bubble wrap, I don't see a fix for that.",0,"In our society , people have to be told that their coffee is very hot , or to remove the plastic wrap of something before eating . I ca n't imagine people having to be informed about this years ago . IQ tests college degrees do not mean anything if he / she wants to put their finger in an electrical socket to find out if it works . I would say people are more educated than a generation ago , but there is a huge lack of common sense today which unfortunately you can not teach . Other than protecting people from themselves by putting them in bubble wrap , I do n't see a fix for that ."
farms,"Factor in the cultural negatives, the governmental (read taxes and free social services) impact, the educational costs (ESL? English is the language of our country.), the crime and the continuing ghettoization of cities (albeit just another sign of the failure of multiculturalism) and most folks would be happy to pay more at the greengrocer for US citizen-picked produce. The mantra of 'jobs Americans don't want' leaves out the 'at that pay' aspect.",1,"Factor in the cultural negatives , the governmental ( read taxes and free social services ) impact , the educational costs ( ESL ? English is the language of our country . ) , the crime and the continuing ghettoization of cities ( albeit just another sign of the failure of multiculturalism ) and most folks would be happy to pay more at the greengrocer for US citizen - picked produce . The mantra of ' jobs Americans do n't want ' leaves out the ' at that pay ' aspect ."
arms,The U.S. Needs to honor its long standing commitment to the defense of Taiwan. If as is put forth here there is concern over the growing ability and accuracy of China's ballistic missiles the solution needs to be the inclusion of Taiwan in the Aegis ashore missile defense program as well as upgrading Taiwan's Patriot air defense batteries to the latest PAC-3 missiles and associated radar systems. None of this is offensive in nature and only can threaten China to the extent that it reduces China's ability to threaten Taiwan. Not selling Taiwan the latest defense hardware because we are concerned that China will stop selling us cheap consumer products may be a foreign policy but it's not a very wise one.,1,The U.S. Needs to honor its long standing commitment to the defense of Taiwan . If as is put forth here there is concern over the growing ability and accuracy of China 's ballistic missiles the solution needs to be the inclusion of Taiwan in the Aegis ashore missile defense program as well as upgrading Taiwan 's Patriot air defense batteries to the latest PAC-3 missiles and associated radar systems . None of this is offensive in nature and only can threaten China to the extent that it reduces China 's ability to threaten Taiwan . Not selling Taiwan the latest defense hardware because we are concerned that China will stop selling us cheap consumer products may be a foreign policy but it 's not a very wise one .
